steps,time_per_step,pred_success,nodes,filtered_nodes
0,0,0,0,0
2002,0.0001,0.4996,192,10
4001,0.0001,0.479,220,26
6001,0.0002,0.4727,251,35
8001,0.0002,0.4641,283,46
10000,0.0002,0.4611,310,55
12002,0.0002,0.4552,334,59
14001,0.0002,0.4569,373,66
16001,0.0002,0.453,408,69
18001,0.0003,0.4509,436,72
20000,0.0003,0.4497,463,76
22001,0.0002,0.4323,491,83
24001,0.0002,0.4446,514,90
26002,0.0002,0.4414,550,94
28001,0.0002,0.4366,574,99
30001,0.0002,0.4348,601,104
32000,0.0002,0.4314,629,111
34000,0.0002,0.4414,665,116
36001,0.0002,0.4428,703,122
38002,0.0002,0.43,729,130
40001,0.0002,0.4323,754,133
42002,0.0002,0.435,778,141
44002,0.0002,0.4341,797,146
46002,0.0002,0.4365,816,149
48000,0.0002,0.4329,838,159
50001,0.0002,0.4378,852,162
52000,0.0002,0.4431,868,167
54001,0.0002,0.4241,884,169
56002,0.0002,0.4423,889,170
58002,0.0003,0.4367,906,177
60001,0.0003,0.433,917,183
62001,0.0003,0.4282,924,195
64000,0.0002,0.4416,932,198
66002,0.0002,0.4319,945,206
68002,0.0002,0.4335,950,210
70002,0.0002,0.4424,952,218
72000,0.0002,0.4335,959,222
74002,0.0002,0.4313,964,224
76001,0.0002,0.4366,970,226
78001,0.0002,0.4273,974,230
80002,0.0002,0.4314,980,238
82002,0.0002,0.4379,986,242
84001,0.0002,0.4276,986,247
86001,0.0002,0.4332,988,253
88002,0.0002,0.4335,988,261
90000,0.0002,0.435,989,272
92000,0.0002,0.4308,990,278
94002,0.0002,0.433,991,285
96001,0.0003,0.4325,991,295
98001,0.0003,0.4293,993,301
100000,0.0003,0.4421,994,304
102001,0.0002,0.4295,997,309
104001,0.0002,0.4323,998,320
106002,0.0002,0.4324,999,324
108000,0.0002,0.4327,1000,327
110002,0.0002,0.4247,1000,337
112001,0.0002,0.4248,1001,340
114002,0.0002,0.4303,1001,343
116001,0.0002,0.4292,1002,353
118002,0.0002,0.4226,1003,360
120002,0.0002,0.4305,1003,362
122002,0.0002,0.4318,1004,370
124001,0.0002,0.4349,1004,373
126001,0.0002,0.4205,1004,378
128000,0.0002,0.4345,1005,382
130000,0.0002,0.4306,1005,389
132001,0.0003,0.435,1005,394
134000,0.0004,0.4345,1005,396
136001,0.0003,0.4306,1005,400
138000,0.0002,0.4363,1005,409
140001,0.0002,0.4282,1005,412
142000,0.0002,0.4383,1005,414
144002,0.0002,0.4362,1005,417
146002,0.0002,0.4414,1005,418
148001,0.0002,0.4296,1006,424
150001,0.0002,0.4236,1006,425
152002,0.0002,0.435,1007,427
154001,0.0002,0.438,1009,429
156000,0.0002,0.4333,1009,429
158002,0.0002,0.4407,1009,431
160002,0.0002,0.4335,1009,434
162001,0.0002,0.4358,1009,435
164001,0.0002,0.4363,1009,438
166001,0.0002,0.4377,1010,438
168000,0.0002,0.4355,1010,438
170002,0.0004,0.4331,1010,439
172002,0.0004,0.4336,1011,440
174000,0.0002,0.4294,1011,442
176001,0.0002,0.4336,1011,444
178000,0.0002,0.4274,1011,445
180001,0.0002,0.4298,1011,445
182000,0.0002,0.4355,1011,445
184002,0.0002,0.4372,1012,446
186000,0.0002,0.4372,1013,446
188002,0.0002,0.4335,1014,446
190001,0.0002,0.435,1014,446
192001,0.0002,0.4395,1014,446
194001,0.0002,0.4336,1014,447
196002,0.0002,0.4442,1014,449
198001,0.0002,0.4329,1016,449
200001,0.0002,0.4374,1016,449
