steps,time_per_step,pred_success,nodes,filtered_nodes
0,0,0,0,0
2001,0.0002,0.5846,276,3
4000,0.0002,0.6178,349,16
6002,0.0002,0.6272,394,30
8002,0.0002,0.6351,437,42
10002,0.0002,0.608,473,58
12002,0.0002,0.6299,497,69
14002,0.0002,0.6213,544,76
16000,0.0002,0.6189,568,85
18000,0.0002,0.6165,590,90
20002,0.0002,0.6192,616,96
22002,0.0002,0.6135,632,105
24002,0.0002,0.6081,649,114
26000,0.0002,0.6352,666,121
28000,0.0002,0.621,680,129
30002,0.0002,0.6112,692,135
32000,0.0002,0.6305,710,142
34002,0.0002,0.6228,722,149
36002,0.0002,0.6196,730,153
38001,0.0002,0.6078,740,160
40000,0.0002,0.6191,744,167
42002,0.0002,0.6151,760,173
44000,0.0003,0.6169,766,178
46000,0.0003,0.6421,775,184
48002,0.0002,0.6129,789,193
50002,0.0002,0.6009,802,203
52002,0.0002,0.6139,810,210
54000,0.0002,0.6413,817,215
56001,0.0002,0.6458,820,220
58000,0.0002,0.6263,824,226
60002,0.0002,0.6286,828,231
62001,0.0002,0.6322,831,234
64000,0.0002,0.6412,839,237
66001,0.0002,0.6505,843,241
68001,0.0002,0.6364,845,245
70000,0.0002,0.6328,853,252
72001,0.0002,0.6474,856,254
74001,0.0002,0.6302,862,259
76002,0.0002,0.6433,864,264
78000,0.0002,0.6312,868,266
80002,0.0002,0.6387,870,269
82002,0.0002,0.6333,871,270
84000,0.0002,0.6635,873,276
86001,0.0003,0.6453,876,280
88002,0.0003,0.6575,877,283
90002,0.0002,0.6293,878,286
92001,0.0002,0.6318,882,289
94001,0.0002,0.6537,886,290
96000,0.0002,0.6284,889,291
98000,0.0002,0.656,892,293
100001,0.0002,0.6305,894,296
102002,0.0002,0.6409,901,299
104000,0.0002,0.647,905,302
106000,0.0002,0.6219,907,306
108000,0.0002,0.6474,907,309
110002,0.0002,0.6173,908,313
112000,0.0002,0.6356,912,316
114001,0.0002,0.6584,916,320
116001,0.0002,0.6528,916,325
118000,0.0002,0.6416,919,329
120002,0.0002,0.6321,920,331
122000,0.0002,0.6466,926,334
124001,0.0002,0.6422,927,335
126000,0.0003,0.6423,929,336
128000,0.0003,0.644,931,338
130002,0.0002,0.6537,933,339
132002,0.0002,0.639,934,341
134000,0.0002,0.652,935,347
136002,0.0002,0.6422,936,351
138001,0.0002,0.6157,936,354
140002,0.0002,0.6711,939,355
142001,0.0002,0.6647,941,356
144002,0.0002,0.6395,942,360
146000,0.0002,0.6654,943,362
148001,0.0002,0.6452,944,362
150001,0.0002,0.6468,945,363
152001,0.0002,0.6394,946,367
154002,0.0002,0.6378,948,368
156000,0.0002,0.6628,952,370
158000,0.0002,0.6561,953,372
160001,0.0002,0.6379,955,376
162000,0.0002,0.649,957,379
164001,0.0003,0.6547,958,383
166001,0.0003,0.6512,960,385
168001,0.0003,0.6324,960,385
170001,0.0002,0.6261,960,388
172000,0.0002,0.6414,962,388
174001,0.0002,0.6272,965,390
176000,0.0002,0.6574,965,391
178001,0.0002,0.6513,966,393
180001,0.0002,0.6494,966,395
182001,0.0002,0.6393,966,398
184000,0.0002,0.6446,968,400
186002,0.0002,0.6345,968,401
188000,0.0002,0.652,971,402
190000,0.0002,0.6433,973,404
192001,0.0002,0.6409,974,406
194002,0.0002,0.6477,977,408
196000,0.0002,0.6447,978,409
198001,0.0002,0.6402,980,411
200000,0.0002,0.6398,981,411
