steps,time_per_step,pred_success,nodes,filtered_nodes
0,0,0,0,0
2001,0.0001,0.5977,355,0
4002,0.0001,0.662,424,0
6001,0.0001,0.668,459,9
8002,0.0001,0.665,505,24
10001,0.0001,0.6618,547,35
12000,0.0001,0.7042,578,43
14002,0.0001,0.6858,605,56
16000,0.0001,0.6881,628,61
18001,0.0001,0.6998,644,68
20000,0.0002,0.7056,678,80
22002,0.0002,0.6813,701,94
24000,0.0002,0.7291,728,111
26000,0.0001,0.7109,750,122
28001,0.0001,0.682,771,132
30001,0.0001,0.7179,780,137
32002,0.0001,0.7134,794,143
34000,0.0001,0.7163,810,145
36002,0.0001,0.7234,817,145
38000,0.0001,0.7246,826,148
40000,0.0001,0.7263,839,150
42002,0.0001,0.7114,852,151
44000,0.0001,0.7279,860,152
46001,0.0001,0.7148,867,154
48001,0.0001,0.7266,878,157
50001,0.0001,0.7328,883,158
52000,0.0001,0.7218,888,160
54001,0.0001,0.7354,901,160
56002,0.0002,0.7132,913,161
58001,0.0001,0.7146,923,162
60000,0.0001,0.7161,929,163
62002,0.0001,0.7262,932,165
64000,0.0001,0.7128,938,169
66000,0.0001,0.7155,947,171
68002,0.0002,0.7131,952,171
70001,0.0002,0.7028,960,173
72001,0.0002,0.7279,969,173
74001,0.0002,0.7375,973,176
76002,0.0001,0.7191,976,177
78002,0.0001,0.7135,980,178
80000,0.0001,0.7372,988,178
82001,0.0002,0.7397,994,179
84001,0.0002,0.711,1000,179
86000,0.0002,0.7151,1003,183
88002,0.0001,0.6998,1008,187
90002,0.0002,0.7285,1014,187
92001,0.0002,0.7384,1020,189
94001,0.0002,0.7233,1026,192
96002,0.0001,0.7162,1029,193
98000,0.0002,0.7349,1031,197
100002,0.0002,0.723,1034,198
102002,0.0002,0.7237,1036,199
104001,0.0001,0.7226,1038,202
106001,0.0002,0.7346,1045,203
108002,0.0001,0.7245,1046,204
110002,0.0002,0.7181,1047,207
112002,0.0002,0.7206,1050,211
114001,0.0002,0.7442,1051,213
116001,0.0002,0.7342,1051,214
118001,0.0003,0.7353,1053,215
120000,0.0001,0.7218,1055,216
122001,0.0002,0.7184,1057,216
124002,0.0002,0.7384,1058,218
126001,0.0002,0.7271,1060,219
128001,0.0002,0.7173,1061,221
130002,0.0001,0.7144,1062,223
132002,0.0002,0.7271,1064,228
134002,0.0001,0.7279,1065,229
136001,0.0002,0.7275,1066,230
138000,0.0002,0.745,1069,231
140000,0.0002,0.7255,1072,233
142001,0.0002,0.7513,1073,239
144002,0.0001,0.7292,1076,242
146000,0.0002,0.699,1078,246
148002,0.0002,0.7514,1078,247
150001,0.0002,0.7218,1079,248
152001,0.0002,0.7167,1079,250
154001,0.0002,0.7181,1082,251
156001,0.0002,0.7284,1084,251
158001,0.0002,0.7335,1084,253
160002,0.0003,0.7436,1084,255
162001,0.0003,0.7133,1084,257
164000,0.0002,0.7452,1085,258
166001,0.0002,0.7359,1085,259
168002,0.0002,0.7236,1086,260
170002,0.0002,0.7257,1088,261
172000,0.0002,0.7294,1090,261
174002,0.0002,0.7246,1090,261
176002,0.0002,0.723,1090,266
178000,0.0002,0.7246,1090,266
180001,0.0002,0.7274,1090,269
182000,0.0002,0.7223,1090,271
184001,0.0002,0.7392,1091,271
186000,0.0002,0.7488,1091,271
188000,0.0002,0.7262,1092,274
190001,0.0002,0.7322,1092,277
192000,0.0002,0.7287,1092,279
194000,0.0002,0.7163,1092,281
196002,0.0002,0.7356,1092,284
198002,0.0002,0.735,1094,288
200000,0.0002,0.7362,1094,291
