steps,time_per_step,pred_success,nodes,filtered_nodes
25001,0.0003,0.5359,1378,160
50000,0.0004,0.533,1832,228
75004,0.0005,0.5304,2215,313
100004,0.0005,0.5339,2487,418
125000,0.0005,0.538,2728,498
150003,0.0005,0.5324,2967,526
175001,0.0006,0.534,3189,543
200003,0.0006,0.534,3388,552
225000,0.0006,0.5309,3577,555
250001,0.0006,0.535,3745,561
275003,0.0007,0.5375,3905,564
300000,0.0008,0.5338,4061,568
325005,0.0007,0.5348,4209,572
350004,0.0007,0.5347,4358,579
375001,0.0008,0.5358,4485,584
400004,0.0007,0.5349,4609,593
425002,0.0008,0.5301,4751,600
450004,0.0008,0.5352,4860,609
475004,0.0009,0.5349,4978,620
500000,0.0008,0.5326,5084,631
525004,0.0008,0.5365,5183,651
550003,0.0009,0.5344,5294,665
575000,0.0008,0.5368,5394,682
600000,0.0009,0.5348,5496,703
625001,0.0009,0.5354,5613,728
650002,0.0009,0.537,5717,756
675001,0.0009,0.5304,5813,769
700001,0.0009,0.5366,5899,785
725001,0.001,0.5377,5982,795
750003,0.001,0.5332,6068,809
775005,0.001,0.5378,6148,820
800003,0.001,0.5358,6217,832
825000,0.001,0.5327,6295,844
850002,0.001,0.5359,6374,850
875001,0.001,0.5337,6458,853
900004,0.001,0.5393,6532,865
925002,0.001,0.5323,6600,874
950004,0.0011,0.538,6672,883
975004,0.0011,0.534,6751,887
1000005,0.0011,0.5367,6809,892
1025001,0.0011,0.5342,6890,896
1050003,0.0011,0.5355,6969,898
1075001,0.0012,0.5341,7035,902
1100001,0.0011,0.5358,7101,905
1125004,0.0011,0.5373,7182,909
1150001,0.0012,0.5325,7240,910
1175004,0.0011,0.5343,7293,915
1200000,0.0012,0.531,7359,919
1225003,0.0011,0.5303,7424,923
1250003,0.0012,0.5299,7486,926
1275002,0.0012,0.5342,7535,928
1300003,0.0012,0.5363,7583,929
1325000,0.0012,0.5362,7643,931
1350001,0.0012,0.5356,7700,933
1375004,0.0013,0.5363,7759,935
1400003,0.0012,0.5354,7814,937
1425005,0.0012,0.5333,7863,940
1450005,0.0014,0.5308,7917,942
1475004,0.0012,0.535,7977,944
1500003,0.0013,0.5331,8034,946
1525002,0.0013,0.5334,8079,947
1550002,0.0013,0.5314,8132,950
1575001,0.0013,0.5298,8195,954
1600002,0.0013,0.5352,8247,955
1625002,0.0013,0.5347,8299,958
1650003,0.0013,0.531,8342,960
1675004,0.0014,0.5333,8410,965
1700003,0.0013,0.5365,8458,966
1725002,0.0014,0.5332,8506,968
1750005,0.0013,0.5353,8557,973
1775005,0.0014,0.5336,8612,978
1800000,0.0013,0.5321,8666,982
1825000,0.0013,0.5361,8710,983
1850004,0.0013,0.5349,8759,985
1875000,0.0014,0.5331,8804,986
1900000,0.0014,0.5308,8850,993
1925002,0.0013,0.5348,8899,997
1950004,0.0014,0.5349,8942,999
1975001,0.0015,0.5299,8986,1001
2000001,0.0014,0.5326,9029,1003
2025000,0.0014,0.5335,9075,1006
2050005,0.0014,0.5357,9111,1009
2075001,0.0015,0.5373,9161,1014
2100004,0.0014,0.5343,9205,1016
2125005,0.0015,0.5325,9261,1024
2150003,0.0014,0.5391,9309,1027
2175000,0.0015,0.5306,9346,1033
2200001,0.0015,0.5332,9389,1040
2225000,0.0015,0.5342,9422,1042
2250004,0.0015,0.5357,9465,1043
2275000,0.0015,0.533,9508,1045
2300001,0.0015,0.5352,9550,1048
2325002,0.0015,0.5366,9586,1051
2350004,0.0015,0.5386,9623,1054
2375003,0.0016,0.5339,9656,1056
2400005,0.0015,0.5321,9683,1060
2425004,0.0015,0.5386,9716,1064
2450000,0.0015,0.533,9750,1067
2475004,0.0016,0.535,9784,1070
2500005,0.0015,0.5314,9818,1074
