total_steps,0,1,2,3
1000,0.94,0.54,0.41,0.51
2000,0.96,0.42,0.36,0.46
3000,0.93,0.33,0.33,0.26
4000,0.92,0.32,0.38,0.42
5000,0.9,0.39,0.43,0.38
6000,0.93,0.41,0.41,0.38
7000,0.95,0.44,0.39,0.48
8000,0.92,0.52,0.39,0.36
9000,0.97,0.45,0.35,0.46
10000,0.92,0.35,0.43,0.42
11000,0.92,0.4,0.41,0.38
12000,0.91,0.43,0.37,0.29
13000,0.95,0.46,0.39,0.32
14000,0.95,0.4,0.4,0.29
15000,0.96,0.39,0.49,0.38
16000,0.95,0.34,0.46,0.31
17000,0.96,0.35,0.33,0.29
18000,0.96,0.4,0.41,0.41
19000,0.97,0.42,0.37,0.39
20000,0.98,0.42,0.38,0.39
21000,0.96,0.35,0.3,0.33
22000,0.92,0.46,0.4,0.43
23000,0.94,0.39,0.3,0.44
24000,0.98,0.4,0.3,0.31
25000,0.94,0.27,0.42,0.43
26000,0.92,0.37,0.44,0.42
27000,0.96,0.39,0.34,0.38
28000,0.94,0.33,0.33,0.34
29000,0.96,0.49,0.44,0.37
30000,0.9,0.27,0.3,0.31
31000,0.98,0.38,0.42,0.38
32000,0.96,0.39,0.41,0.38
33000,0.95,0.46,0.35,0.43
34000,0.98,0.35,0.39,0.38
35000,0.97,0.36,0.37,0.36
36000,0.95,0.31,0.46,0.42
37000,0.98,0.35,0.34,0.39
38000,0.96,0.41,0.34,0.33
39000,0.95,0.32,0.42,0.49
40000,0.96,0.41,0.43,0.48
41000,0.94,0.42,0.42,0.35
42000,0.93,0.36,0.46,0.39
43000,0.94,0.43,0.35,0.5
44000,0.94,0.37,0.33,0.36
45000,0.9,0.36,0.27,0.37
46000,0.96,0.4,0.43,0.38
47000,0.96,0.38,0.38,0.39
48000,0.91,0.41,0.36,0.32
49000,0.97,0.43,0.41,0.37
50000,0.96,0.44,0.53,0.36
51000,0.94,0.4,0.35,0.45
52000,0.95,0.38,0.27,0.38
53000,0.94,0.45,0.38,0.41
54000,0.98,0.41,0.35,0.43
55000,0.92,0.31,0.36,0.29
56000,0.93,0.41,0.31,0.36
57000,0.98,0.41,0.47,0.38
58000,0.96,0.41,0.43,0.39
59000,0.95,0.35,0.34,0.33
60000,0.96,0.33,0.29,0.36
61000,0.99,0.48,0.43,0.45
62000,0.94,0.38,0.46,0.45
63000,0.94,0.38,0.35,0.37
64000,0.97,0.4,0.43,0.37
65000,0.94,0.36,0.41,0.38
66000,0.94,0.36,0.33,0.35
67000,0.98,0.4,0.4,0.36
68000,0.97,0.39,0.49,0.39
69000,0.95,0.43,0.43,0.3
70000,0.99,0.3,0.34,0.31
71000,0.94,0.33,0.38,0.37
72000,0.96,0.37,0.42,0.37
73000,0.95,0.4,0.33,0.39
74000,0.91,0.35,0.36,0.38
75000,0.96,0.34,0.41,0.39
76000,0.96,0.44,0.44,0.39
77000,0.97,0.35,0.41,0.46
78000,0.95,0.32,0.42,0.42
79000,0.94,0.41,0.39,0.34
80000,0.96,0.38,0.41,0.4
81000,0.95,0.36,0.42,0.42
82000,0.94,0.46,0.35,0.48
83000,0.96,0.4,0.45,0.4
84000,0.96,0.4,0.38,0.34
85000,0.95,0.5,0.39,0.44
86000,0.93,0.43,0.42,0.53
87000,0.97,0.34,0.37,0.32
88000,0.94,0.4,0.43,0.37
89000,0.93,0.29,0.28,0.33
90000,0.93,0.38,0.39,0.38
91000,0.98,0.36,0.5,0.36
92000,0.92,0.4,0.37,0.33
93000,0.95,0.38,0.48,0.38
94000,0.95,0.45,0.43,0.45
95000,0.96,0.45,0.35,0.39
96000,0.96,0.5,0.39,0.35
97000,0.96,0.45,0.37,0.34
98000,0.97,0.39,0.38,0.5
99000,0.89,0.42,0.33,0.34
100000,0.98,0.47,0.42,0.44
