steps,best_pred_error_rate
250,"{0: 0.95, 1: 0.5, 2: 0.48, 3: 0.42, 4: 0.41}"
500,"{0: 0.9, 1: 0.44, 2: 0.38, 3: 0.39, 4: 0.47}"
750,"{0: 0.94, 1: 0.42, 2: 0.52, 3: 0.45, 4: 0.42}"
1000,"{0: 0.91, 1: 0.47, 2: 0.5, 3: 0.34, 4: 0.36}"
1250,"{0: 0.92, 1: 0.47, 2: 0.34, 3: 0.37, 4: 0.3}"
1500,"{0: 0.97, 1: 0.37, 2: 0.28, 3: 0.5, 4: 0.4}"
1750,"{0: 0.94, 1: 0.39, 2: 0.35, 3: 0.37, 4: 0.31}"
2000,"{0: 0.95, 1: 0.46, 2: 0.39, 3: 0.38, 4: 0.39}"
2250,"{0: 0.97, 1: 0.35, 2: 0.4, 3: 0.34, 4: 0.41}"
2500,"{0: 0.97, 1: 0.48, 2: 0.3, 3: 0.4, 4: 0.42}"
2750,"{0: 0.97, 1: 0.39, 2: 0.42, 3: 0.4, 4: 0.35}"
3000,"{0: 0.92, 1: 0.46, 2: 0.42, 3: 0.31, 4: 0.38}"
3250,"{0: 0.95, 1: 0.5, 2: 0.3, 3: 0.33, 4: 0.27}"
3500,"{0: 0.98, 1: 0.36, 2: 0.31, 3: 0.37, 4: 0.38}"
3750,"{0: 0.96, 1: 0.4, 2: 0.35, 3: 0.33, 4: 0.42}"
4000,"{0: 0.98, 1: 0.47, 2: 0.3, 3: 0.41, 4: 0.3}"
4250,"{0: 0.96, 1: 0.37, 2: 0.37, 3: 0.36, 4: 0.29}"
4500,"{0: 0.94, 1: 0.36, 2: 0.36, 3: 0.29, 4: 0.23}"
4750,"{0: 0.94, 1: 0.35, 2: 0.38, 3: 0.36, 4: 0.34}"
5000,"{0: 0.96, 1: 0.36, 2: 0.35, 3: 0.34, 4: 0.31}"
5250,"{0: 0.93, 1: 0.36, 2: 0.46, 3: 0.38, 4: 0.26}"
5500,"{0: 0.94, 1: 0.38, 2: 0.25, 3: 0.33, 4: 0.3}"
5750,"{0: 0.97, 1: 0.38, 2: 0.31, 3: 0.34, 4: 0.31}"
6000,"{0: 0.94, 1: 0.31, 2: 0.34, 3: 0.26, 4: 0.28}"
6250,"{0: 0.93, 1: 0.32, 2: 0.27, 3: 0.28, 4: 0.35}"
6500,"{0: 0.93, 1: 0.4, 2: 0.29, 3: 0.33, 4: 0.29}"
6750,"{0: 0.94, 1: 0.39, 2: 0.34, 3: 0.28, 4: 0.26}"
7000,"{0: 0.96, 1: 0.32, 2: 0.34, 3: 0.41, 4: 0.35}"
7250,"{0: 0.91, 1: 0.43, 2: 0.49, 3: 0.42, 4: 0.19}"
7500,"{0: 0.96, 1: 0.34, 2: 0.28, 3: 0.26, 4: 0.32}"
7750,"{0: 0.98, 1: 0.35, 2: 0.37, 3: 0.33, 4: 0.31}"
8000,"{0: 0.92, 1: 0.4, 2: 0.24, 3: 0.28, 4: 0.26}"
8250,"{0: 0.94, 1: 0.38, 2: 0.19, 3: 0.31, 4: 0.3}"
8500,"{0: 0.93, 1: 0.32, 2: 0.38, 3: 0.36, 4: 0.23}"
8750,"{0: 0.92, 1: 0.44, 2: 0.36, 3: 0.31, 4: 0.35}"
9000,"{0: 0.92, 1: 0.47, 2: 0.3, 3: 0.37, 4: 0.33}"
9250,"{0: 0.94, 1: 0.47, 2: 0.32, 3: 0.3, 4: 0.31}"
9500,"{0: 0.95, 1: 0.44, 2: 0.35, 3: 0.31, 4: 0.32}"
9750,"{0: 0.98, 1: 0.4, 2: 0.27, 3: 0.28, 4: 0.28}"
10000,"{0: 0.93, 1: 0.38, 2: 0.21, 3: 0.23, 4: 0.32}"
10250,"{0: 0.94, 1: 0.37, 2: 0.31, 3: 0.29, 4: 0.31}"
10500,"{0: 0.94, 1: 0.46, 2: 0.33, 3: 0.23, 4: 0.24}"
10750,"{0: 0.96, 1: 0.36, 2: 0.39, 3: 0.32, 4: 0.22}"
11000,"{0: 0.95, 1: 0.35, 2: 0.27, 3: 0.3, 4: 0.25}"
11250,"{0: 0.94, 1: 0.4, 2: 0.28, 3: 0.24, 4: 0.32}"
11500,"{0: 0.95, 1: 0.35, 2: 0.29, 3: 0.28, 4: 0.29}"
11750,"{0: 0.98, 1: 0.45, 2: 0.35, 3: 0.28, 4: 0.32}"
12000,"{0: 0.97, 1: 0.46, 2: 0.29, 3: 0.3, 4: 0.29}"
12250,"{0: 0.96, 1: 0.39, 2: 0.31, 3: 0.37, 4: 0.35}"
12500,"{0: 0.98, 1: 0.41, 2: 0.27, 3: 0.32, 4: 0.32}"
12750,"{0: 0.92, 1: 0.35, 2: 0.31, 3: 0.38, 4: 0.35}"
13000,"{0: 0.93, 1: 0.39, 2: 0.31, 3: 0.25, 4: 0.21}"
13250,"{0: 0.97, 1: 0.46, 2: 0.32, 3: 0.29, 4: 0.27}"
13500,"{0: 0.95, 1: 0.41, 2: 0.4, 3: 0.33, 4: 0.28}"
13750,"{0: 0.95, 1: 0.47, 2: 0.31, 3: 0.34, 4: 0.27}"
14000,"{0: 0.99, 1: 0.46, 2: 0.24, 3: 0.26, 4: 0.23}"
14250,"{0: 0.94, 1: 0.39, 2: 0.37, 3: 0.38, 4: 0.27}"
14500,"{0: 0.93, 1: 0.43, 2: 0.25, 3: 0.27, 4: 0.26}"
14750,"{0: 0.96, 1: 0.36, 2: 0.41, 3: 0.3, 4: 0.24}"
15000,"{0: 0.98, 1: 0.42, 2: 0.31, 3: 0.24, 4: 0.27}"
15250,"{0: 0.93, 1: 0.47, 2: 0.4, 3: 0.26, 4: 0.26}"
15500,"{0: 0.96, 1: 0.42, 2: 0.32, 3: 0.26, 4: 0.37}"
15750,"{0: 0.97, 1: 0.48, 2: 0.28, 3: 0.36, 4: 0.23}"
16000,"{0: 0.99, 1: 0.5, 2: 0.28, 3: 0.26, 4: 0.29}"
16250,"{0: 0.96, 1: 0.46, 2: 0.35, 3: 0.31, 4: 0.26}"
16500,"{0: 0.96, 1: 0.48, 2: 0.37, 3: 0.26, 4: 0.25}"
16750,"{0: 0.94, 1: 0.45, 2: 0.33, 3: 0.29, 4: 0.35}"
17000,"{0: 0.94, 1: 0.38, 2: 0.29, 3: 0.36, 4: 0.34}"
17250,"{0: 0.94, 1: 0.42, 2: 0.31, 3: 0.29, 4: 0.26}"
17500,"{0: 0.94, 1: 0.43, 2: 0.31, 3: 0.37, 4: 0.32}"
17750,"{0: 0.93, 1: 0.46, 2: 0.26, 3: 0.31, 4: 0.26}"
18000,"{0: 0.97, 1: 0.53, 2: 0.29, 3: 0.34, 4: 0.33}"
18250,"{0: 0.98, 1: 0.51, 2: 0.29, 3: 0.34, 4: 0.31}"
18500,"{0: 0.93, 1: 0.45, 2: 0.35, 3: 0.23, 4: 0.24}"
18750,"{0: 0.95, 1: 0.45, 2: 0.23, 3: 0.27, 4: 0.34}"
19000,"{0: 0.95, 1: 0.46, 2: 0.4, 3: 0.4, 4: 0.25}"
19250,"{0: 0.96, 1: 0.42, 2: 0.39, 3: 0.21, 4: 0.32}"
19500,"{0: 0.93, 1: 0.44, 2: 0.3, 3: 0.29, 4: 0.34}"
19750,"{0: 0.98, 1: 0.45, 2: 0.33, 3: 0.32, 4: 0.35}"
20000,"{0: 0.95, 1: 0.43, 2: 0.29, 3: 0.39, 4: 0.26}"
20250,"{0: 0.94, 1: 0.5, 2: 0.2, 3: 0.33, 4: 0.35}"
20500,"{0: 0.95, 1: 0.45, 2: 0.24, 3: 0.41, 4: 0.38}"
20750,"{0: 0.99, 1: 0.46, 2: 0.35, 3: 0.27, 4: 0.29}"
21000,"{0: 0.94, 1: 0.49, 2: 0.3, 3: 0.39, 4: 0.32}"
21250,"{0: 0.93, 1: 0.46, 2: 0.32, 3: 0.33, 4: 0.21}"
21500,"{0: 0.97, 1: 0.45, 2: 0.33, 3: 0.26, 4: 0.25}"
21750,"{0: 0.96, 1: 0.38, 2: 0.29, 3: 0.3, 4: 0.25}"
22000,"{0: 0.94, 1: 0.45, 2: 0.24, 3: 0.2, 4: 0.33}"
22250,"{0: 0.93, 1: 0.48, 2: 0.25, 3: 0.25, 4: 0.24}"
22500,"{0: 0.94, 1: 0.41, 2: 0.29, 3: 0.31, 4: 0.29}"
22750,"{0: 0.96, 1: 0.43, 2: 0.24, 3: 0.24, 4: 0.26}"
23000,"{0: 0.98, 1: 0.44, 2: 0.31, 3: 0.28, 4: 0.24}"
23250,"{0: 0.92, 1: 0.32, 2: 0.27, 3: 0.25, 4: 0.28}"
23500,"{0: 0.98, 1: 0.49, 2: 0.38, 3: 0.29, 4: 0.2}"
23750,"{0: 0.97, 1: 0.41, 2: 0.32, 3: 0.34, 4: 0.34}"
24000,"{0: 0.93, 1: 0.41, 2: 0.33, 3: 0.26, 4: 0.29}"
24250,"{0: 0.97, 1: 0.4, 2: 0.23, 3: 0.25, 4: 0.31}"
24500,"{0: 0.96, 1: 0.34, 2: 0.28, 3: 0.29, 4: 0.3}"
