steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0002,0.312,107,0
500,0.0003,0.644,119,0
750,0.0002,0.648,127,0
1000,0.0002,0.708,128,1
1250,0.0003,0.724,129,0
1500,0.0004,0.656,129,0
1750,0.0007,0.72,129,1
2000,0.0005,0.66,129,3
2250,0.0006,0.736,129,6
2500,0.0004,0.64,129,7
2750,0.0005,0.604,129,8
3000,0.0005,0.644,129,8
3250,0.0004,0.792,129,8
3500,0.0004,0.732,129,9
3750,0.0004,0.66,129,9
4000,0.0005,0.728,129,9
4250,0.0005,0.712,129,9
4500,0.0003,0.708,129,9
4750,0.0003,0.74,129,10
5000,0.0004,0.588,129,12
5250,0.0003,0.652,129,16
5500,0.0002,0.664,129,16
5750,0.0002,0.768,129,16
6000,0.0002,0.688,129,18
6250,0.0002,0.616,129,19
6500,0.0002,0.636,129,21
6750,0.0004,0.668,129,23
7000,0.0003,0.732,129,25
7250,0.0007,0.716,129,27
7500,0.0004,0.8,129,27
7750,0.0003,0.62,129,28
8000,0.0006,0.604,129,28
8250,0.0003,0.756,129,28
8500,0.0003,0.712,129,28
8750,0.0003,0.688,129,28
9000,0.0002,0.66,129,28
9250,0.0003,0.628,129,29
9500,0.0006,0.728,129,29
9750,0.0003,0.796,129,29
10000,0.0003,0.692,129,29
10250,0.0002,0.688,129,29
10500,0.0003,0.664,129,29
10750,0.0002,0.764,129,29
11000,0.0001,0.692,129,29
11250,0.0002,0.72,129,29
11500,0.0001,0.676,129,29
11750,0.0002,0.668,129,29
12000,0.0001,0.68,129,29
12250,0.0003,0.78,129,29
12500,0.0004,0.72,129,29
12750,0.0003,0.792,129,29
13000,0.0004,0.732,129,29
13250,0.0003,0.564,129,29
13500,0.0003,0.612,129,29
13750,0.0003,0.716,129,29
14000,0.0002,0.612,129,29
14250,0.0003,0.632,129,29
14500,0.0002,0.652,129,29
14750,0.0003,0.704,129,29
15000,0.0003,0.628,129,29
15250,0.0003,0.692,129,29
15500,0.0003,0.612,129,29
15750,0.0003,0.724,129,29
16000,0.0003,0.672,129,29
16250,0.0003,0.76,129,29
16500,0.0003,0.68,129,29
16750,0.0002,0.636,129,29
17000,0.0003,0.592,129,29
17250,0.0003,0.616,129,29
17500,0.0002,0.688,129,29
17750,0.0002,0.6,129,29
18000,0.0002,0.656,129,29
18250,0.0003,0.68,129,29
18500,0.0002,0.632,129,29
18750,0.0002,0.692,129,29
19000,0.0002,0.644,129,29
19250,0.0002,0.628,129,29
19500,0.0002,0.716,129,29
19750,0.0001,0.676,129,29
20000,0.0002,0.8,129,29
20250,0.0002,0.628,129,29
20500,0.0002,0.796,129,29
20750,0.0003,0.696,129,29
21000,0.0001,0.704,129,29
21250,0.0001,0.708,129,29
21500,0.0002,0.652,129,29
21750,0.0002,0.788,129,29
22000,0.0001,0.784,129,29
22250,0.0003,0.696,129,29
22500,0.0002,0.604,129,29
22750,0.0002,0.676,129,29
23000,0.0002,0.636,129,29
23250,0.0002,0.708,129,29
23500,0.0002,0.664,129,29
23750,0.0003,0.636,129,29
24000,0.0002,0.636,129,29
24250,0.0002,0.712,129,29
24500,0.0001,0.632,129,29
24750,0.0002,0.588,129,29
25000,0.0002,0.708,129,29
