steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0001,0.152,111,0
500,0.0002,0.196,144,0
750,0.0001,0.196,162,0
1000,0.0001,0.152,176,0
1250,0.0001,0.228,187,0
1500,0.0001,0.256,198,1
1750,0.0002,0.22,207,1
2000,0.0001,0.2,210,1
2250,0.0001,0.244,215,3
2500,0.0001,0.252,219,4
2750,0.0001,0.184,221,6
3000,0.0002,0.236,224,7
3250,0.0001,0.22,227,10
3500,0.0002,0.26,231,11
3750,0.0002,0.252,232,12
4000,0.0001,0.208,234,15
4250,0.0001,0.22,236,16
4500,0.0002,0.268,238,17
4750,0.0002,0.208,238,17
5000,0.0001,0.228,238,17
5250,0.0003,0.208,238,17
5500,0.0002,0.216,239,17
5750,0.0001,0.216,239,18
6000,0.0002,0.196,240,20
6250,0.0002,0.2,241,22
6500,0.0001,0.192,241,22
6750,0.0001,0.188,242,23
7000,0.0002,0.244,243,24
7250,0.0001,0.252,243,25
7500,0.0002,0.152,243,26
7750,0.0002,0.196,243,26
8000,0.0001,0.264,243,29
8250,0.0001,0.256,243,30
8500,0.0001,0.204,243,31
8750,0.0001,0.24,243,31
9000,0.0002,0.164,243,32
9250,0.0002,0.188,243,32
9500,0.0001,0.212,243,35
9750,0.0001,0.156,243,36
10000,0.0001,0.228,243,38
10250,0.0001,0.18,243,40
10500,0.0001,0.212,243,40
10750,0.0001,0.172,243,42
11000,0.0002,0.192,243,44
11250,0.0001,0.244,243,44
11500,0.0001,0.216,243,44
11750,0.0002,0.228,243,50
12000,0.0001,0.248,243,51
12250,0.0001,0.22,243,52
12500,0.0001,0.244,243,55
12750,0.0002,0.232,243,57
13000,0.0002,0.208,243,58
13250,0.0002,0.224,243,59
13500,0.0001,0.236,243,59
13750,0.0001,0.22,243,60
14000,0.0002,0.216,243,60
14250,0.0001,0.216,243,62
14500,0.0001,0.196,243,63
14750,0.0001,0.18,243,63
15000,0.0001,0.248,243,63
15250,0.0001,0.18,243,64
15500,0.0002,0.252,243,65
15750,0.0002,0.252,243,66
16000,0.0002,0.196,243,67
16250,0.0002,0.208,243,68
16500,0.0002,0.192,243,69
16750,0.0002,0.236,243,69
17000,0.0001,0.184,243,69
17250,0.0001,0.208,244,69
17500,0.0001,0.204,245,69
17750,0.0001,0.264,245,70
18000,0.0002,0.2,245,70
18250,0.0001,0.236,245,70
18500,0.0002,0.192,245,72
18750,0.0002,0.2,245,73
19000,0.0001,0.204,245,74
19250,0.0001,0.18,245,75
19500,0.0001,0.204,245,76
19750,0.0001,0.2,245,77
20000,0.0001,0.176,245,78
20250,0.0001,0.196,245,78
20500,0.0002,0.236,245,78
20750,0.0002,0.252,245,78
21000,0.0002,0.244,245,78
21250,0.0002,0.208,245,78
21500,0.0002,0.232,245,78
21750,0.0001,0.244,245,78
22000,0.0001,0.148,245,78
22250,0.0001,0.204,246,78
22500,0.0001,0.18,246,79
22750,0.0001,0.184,246,79
23000,0.0001,0.196,246,79
23250,0.0002,0.196,246,79
23500,0.0001,0.216,246,79
23750,0.0002,0.24,246,79
24000,0.0002,0.184,246,79
24250,0.0001,0.176,246,79
24500,0.0001,0.192,246,80
24750,0.0001,0.244,246,80
25000,0.0001,0.192,246,80
