steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0002,0.056,120,0
500,0.0002,0.152,175,0
750,0.0001,0.184,212,0
1000,0.0002,0.252,247,0
1250,0.0003,0.22,266,0
1500,0.0002,0.256,286,0
1750,0.0002,0.308,298,0
2000,0.0003,0.316,311,0
2250,0.0002,0.308,317,0
2500,0.0003,0.3,324,0
2750,0.0002,0.32,332,0
3000,0.0001,0.296,336,0
3250,0.0001,0.344,343,0
3500,0.0001,0.292,347,0
3750,0.0001,0.324,350,0
4000,0.0001,0.308,352,0
4250,0.0001,0.336,356,0
4500,0.0001,0.332,357,0
4750,0.0001,0.352,360,0
5000,0.0001,0.364,361,2
5250,0.0002,0.396,363,3
5500,0.0002,0.388,364,5
5750,0.0001,0.356,365,6
6000,0.0001,0.48,365,8
6250,0.0001,0.392,366,8
6500,0.0002,0.368,366,8
6750,0.0002,0.336,367,12
7000,0.0001,0.352,367,14
7250,0.0002,0.42,369,15
7500,0.0001,0.34,369,15
7750,0.0001,0.452,369,16
8000,0.0003,0.36,369,16
8250,0.0002,0.38,369,16
8500,0.0002,0.34,370,18
8750,0.0001,0.42,370,20
9000,0.0001,0.316,370,20
9250,0.0001,0.284,371,20
9500,0.0001,0.42,371,20
9750,0.0002,0.368,371,21
10000,0.0002,0.408,371,23
10250,0.0002,0.412,371,23
10500,0.0002,0.396,371,24
10750,0.0002,0.404,371,25
11000,0.0001,0.356,371,27
11250,0.0002,0.444,371,27
11500,0.0001,0.404,371,27
11750,0.0001,0.32,371,28
12000,0.0001,0.428,371,28
12250,0.0003,0.32,371,28
12500,0.0002,0.448,371,28
12750,0.0002,0.368,371,30
13000,0.0001,0.324,371,30
13250,0.0002,0.36,371,31
13500,0.0002,0.436,371,32
13750,0.0002,0.368,371,32
14000,0.0001,0.348,371,35
14250,0.0001,0.38,371,36
14500,0.0001,0.348,371,38
14750,0.0001,0.46,371,40
15000,0.0001,0.352,371,41
15250,0.0001,0.344,371,43
15500,0.0001,0.372,371,43
15750,0.0002,0.348,371,43
16000,0.0001,0.42,371,44
16250,0.0002,0.332,372,44
16500,0.0001,0.372,372,46
16750,0.0002,0.336,372,46
17000,0.0001,0.408,372,47
17250,0.0001,0.332,372,51
17500,0.0001,0.368,372,51
17750,0.0002,0.36,372,52
18000,0.0002,0.508,372,53
18250,0.0002,0.384,372,53
18500,0.0001,0.34,372,56
18750,0.0001,0.368,372,59
19000,0.0002,0.408,372,62
19250,0.0001,0.368,372,64
19500,0.0001,0.46,372,64
19750,0.0001,0.28,372,65
20000,0.0001,0.38,372,66
20250,0.0001,0.428,372,67
20500,0.0001,0.292,372,69
20750,0.0002,0.4,372,70
21000,0.0002,0.356,372,70
21250,0.0001,0.476,372,74
21500,0.0002,0.32,372,74
21750,0.0002,0.372,372,75
22000,0.0002,0.34,372,76
22250,0.0002,0.356,372,76
22500,0.0002,0.332,372,80
22750,0.0002,0.42,372,83
23000,0.0002,0.46,372,83
23250,0.0001,0.356,372,85
23500,0.0002,0.452,372,88
23750,0.0002,0.36,372,89
24000,0.0001,0.32,372,91
24250,0.0002,0.38,372,96
24500,0.0001,0.396,372,98
24750,0.0002,0.352,372,100
25000,0.0002,0.336,372,101
