steps,time_per_step,wrong_preds_per_step,nodes,filtered_nodes
0,0,0,0,0
250,0.0001,0.032,124,0
500,0.0002,0.104,185,0
750,0.0002,0.12,218,0
1000,0.0002,0.096,255,0
1250,0.0002,0.132,273,0
1500,0.0002,0.08,298,0
1750,0.0002,0.14,311,0
2000,0.0002,0.12,321,0
2250,0.0002,0.108,332,0
2500,0.0002,0.136,340,0
2750,0.0001,0.132,346,0
3000,0.0001,0.168,352,0
3250,0.0002,0.12,354,0
3500,0.0001,0.136,358,0
3750,0.0001,0.132,361,0
4000,0.0002,0.128,361,0
4250,0.0002,0.1,367,0
4500,0.0002,0.14,367,0
4750,0.0001,0.116,368,0
5000,0.0002,0.136,369,0
5250,0.0002,0.128,369,0
5500,0.0002,0.092,369,0
5750,0.0001,0.132,370,0
6000,0.0001,0.136,372,0
6250,0.0001,0.156,372,2
6500,0.0001,0.16,372,2
6750,0.0001,0.116,372,3
7000,0.0001,0.08,372,4
7250,0.0001,0.088,372,6
7500,0.0001,0.124,372,6
7750,0.0001,0.08,372,7
8000,0.0001,0.124,372,9
8250,0.0001,0.1,372,11
8500,0.0001,0.112,372,12
8750,0.0001,0.096,372,13
9000,0.0001,0.144,372,13
9250,0.0001,0.12,372,15
9500,0.0001,0.1,372,15
9750,0.0001,0.112,372,15
10000,0.0001,0.148,372,15
10250,0.0001,0.096,372,16
10500,0.0001,0.128,372,18
10750,0.0001,0.084,372,19
11000,0.0001,0.068,372,19
11250,0.0001,0.128,372,21
11500,0.0001,0.108,372,24
11750,0.0001,0.12,372,25
12000,0.0001,0.108,372,26
12250,0.0001,0.14,372,26
12500,0.0001,0.132,372,26
12750,0.0001,0.124,372,28
13000,0.0001,0.12,372,29
13250,0.0001,0.108,372,31
13500,0.0001,0.14,372,33
13750,0.0001,0.136,372,33
14000,0.0001,0.136,372,34
14250,0.0002,0.124,372,35
14500,0.0001,0.144,372,36
14750,0.0002,0.136,372,36
15000,0.0002,0.124,372,36
15250,0.0002,0.136,372,36
15500,0.0001,0.136,372,36
15750,0.0001,0.128,372,36
16000,0.0001,0.1,372,37
16250,0.0001,0.124,372,38
16500,0.0001,0.096,372,38
16750,0.0002,0.108,372,39
17000,0.0001,0.116,372,40
17250,0.0002,0.112,372,41
17500,0.0001,0.144,372,41
17750,0.0001,0.096,372,42
18000,0.0002,0.072,372,42
18250,0.0001,0.164,372,43
18500,0.0002,0.088,372,43
18750,0.0001,0.092,372,44
19000,0.0002,0.148,372,45
19250,0.0001,0.112,372,45
19500,0.0002,0.144,372,45
19750,0.0002,0.116,372,46
20000,0.0002,0.084,372,48
20250,0.0002,0.16,372,50
20500,0.0001,0.168,372,51
20750,0.0002,0.132,372,51
21000,0.0002,0.116,372,51
21250,0.0002,0.076,372,51
21500,0.0002,0.112,372,51
21750,0.0002,0.108,372,52
22000,0.0001,0.124,372,52
22250,0.0001,0.068,372,52
22500,0.0001,0.148,372,52
22750,0.0002,0.144,372,53
23000,0.0001,0.096,372,54
23250,0.0001,0.088,372,54
23500,0.0002,0.096,372,55
23750,0.0002,0.124,372,58
24000,0.0003,0.14,372,58
24250,0.0002,0.092,372,59
24500,0.0002,0.152,372,62
24750,0.0002,0.128,372,64
25000,0.0001,0.124,372,64
