steps,time_per_step,nodes,filtered_nodes
2002,0.0003,517,1
4002,0.0003,771,5
6000,0.0003,927,15
8000,0.0003,1055,29
10000,0.0003,1174,41
12000,0.0004,1274,58
14000,0.0004,1339,72
16000,0.0003,1404,84
18002,0.0004,1479,98
20002,0.0004,1526,114
22000,0.0004,1573,120
24002,0.0004,1618,133
26001,0.0004,1661,145
28002,0.0004,1695,153
30001,0.0004,1726,160
32000,0.0004,1757,174
34000,0.0004,1789,178
36000,0.0005,1819,180
38002,0.0004,1847,186
40001,0.0004,1871,196
42000,0.0004,1888,201
44000,0.0004,1912,206
46002,0.0004,1933,210
48001,0.0005,1955,215
50001,0.0004,1970,221
52001,0.0004,1983,226
54002,0.0004,1998,232
56002,0.0004,2016,239
58002,0.0005,2027,242
60001,0.0004,2048,244
62000,0.0004,2059,250
64000,0.0004,2067,257
66001,0.0004,2081,262
68000,0.0004,2097,268
70000,0.0005,2108,276
72001,0.0005,2117,283
74000,0.0004,2123,287
76000,0.0005,2130,295
78000,0.0004,2135,301
80002,0.0004,2144,306
82002,0.0004,2149,313
84000,0.0004,2159,323
86000,0.0004,2165,330
88001,0.0004,2173,335
90002,0.0005,2179,344
92002,0.0005,2183,355
94000,0.0004,2189,365
96000,0.0004,2195,374
98002,0.0004,2197,381
100000,0.0005,2210,392
102000,0.0005,2212,397
104001,0.0004,2217,404
106000,0.0005,2223,414
108002,0.0004,2228,421
110001,0.0004,2230,426
112000,0.0005,2237,430
114001,0.0004,2244,438
116000,0.0005,2250,444
118002,0.0005,2252,445
120000,0.0004,2255,449
122002,0.0005,2255,451
124002,0.0005,2260,454
126000,0.0004,2264,457
128000,0.0004,2267,461
130002,0.0005,2270,461
132000,0.0005,2271,465
134001,0.0004,2272,467
136001,0.0004,2274,469
138000,0.0005,2278,470
140001,0.0005,2279,473
142001,0.0005,2281,475
144001,0.0004,2282,477
146002,0.0005,2286,477
148002,0.0004,2289,481
150001,0.0005,2290,484
152001,0.0005,2292,486
154002,0.0005,2295,488
156000,0.0005,2296,491
158000,0.0004,2298,492
160000,0.0005,2300,494
162002,0.0005,2303,495
164001,0.0004,2303,496
166001,0.0005,2304,498
168000,0.0005,2306,501
170001,0.0005,2307,503
172000,0.0004,2309,504
174000,0.0005,2311,505
176001,0.0005,2312,505
178002,0.0005,2313,507
180000,0.0004,2315,507
182002,0.0005,2315,508
184001,0.0005,2318,509
186000,0.0005,2320,511
188002,0.0004,2321,513
190002,0.0005,2321,513
192002,0.0005,2322,514
194000,0.0004,2323,515
196000,0.0005,2324,515
198002,0.0005,2324,517
200000,0.0004,2327,519
