steps,time_per_step,nodes,filtered_nodes
2002,0.0003,432,0
4000,0.0003,568,8
6000,0.0005,656,19
8002,0.0007,733,33
10001,0.0003,809,44
12002,0.0003,863,56
14001,0.0004,925,67
16000,0.0004,974,82
18001,0.0004,1023,96
20001,0.0003,1068,108
22000,0.0003,1122,121
24001,0.0003,1152,132
26001,0.0003,1195,149
28000,0.0004,1226,164
30000,0.0003,1262,167
32002,0.0004,1289,174
34002,0.0003,1324,181
36000,0.0003,1356,187
38001,0.0003,1385,191
40000,0.0003,1414,197
42001,0.0004,1440,208
44001,0.0004,1462,211
46000,0.0004,1479,217
48002,0.0004,1514,222
50002,0.0004,1534,233
52000,0.0004,1552,236
54000,0.0003,1576,241
56000,0.0004,1598,248
58002,0.0004,1613,253
60001,0.0004,1625,258
62001,0.0004,1639,266
64000,0.0004,1653,270
66000,0.0004,1671,280
68001,0.0004,1685,287
70002,0.0004,1702,294
72001,0.0004,1710,303
74002,0.0004,1726,311
76001,0.0004,1741,324
78002,0.0003,1757,336
80000,0.0003,1773,341
82000,0.0004,1786,343
84001,0.0004,1802,349
86002,0.0004,1812,353
88002,0.0004,1823,358
90002,0.0004,1831,371
92000,0.0004,1843,375
94001,0.0004,1851,379
96001,0.0004,1860,386
98000,0.0004,1871,388
100000,0.0004,1878,398
102001,0.0004,1884,401
104001,0.0004,1891,407
106001,0.0004,1897,413
108001,0.0004,1906,415
110000,0.0004,1912,424
112000,0.0004,1918,431
114001,0.0004,1928,433
116000,0.0004,1935,437
118000,0.0004,1945,440
120002,0.0003,1954,443
122001,0.0004,1967,446
124002,0.0004,1976,453
126001,0.0003,1981,456
128002,0.0004,1991,456
130002,0.0004,1996,458
132000,0.0004,2001,461
134000,0.0004,2008,464
136001,0.0004,2016,464
138000,0.0004,2021,472
140002,0.0004,2025,474
142000,0.0004,2031,476
144001,0.0003,2037,479
146000,0.0004,2042,479
148002,0.0003,2049,481
150002,0.0004,2052,484
152001,0.0004,2057,486
154001,0.0004,2064,489
156002,0.0004,2067,492
158000,0.0004,2070,494
160000,0.0004,2077,496
162000,0.0004,2083,497
164001,0.0004,2089,498
166000,0.0004,2091,498
168001,0.0004,2094,499
170001,0.0004,2097,499
172001,0.0004,2099,499
174002,0.0004,2103,501
176001,0.0004,2106,501
178000,0.0004,2109,503
180000,0.0004,2111,504
182002,0.0004,2116,504
184000,0.0004,2118,504
186000,0.0004,2121,507
188002,0.0004,2124,508
190000,0.0004,2127,508
192002,0.0004,2130,509
194000,0.0004,2135,510
196000,0.0004,2136,510
198002,0.0004,2137,511
200002,0.0004,2148,512
