steps,time_per_step,pred_success,nodes,filtered_nodes
0,0,0,0,0
2000,0.0002,0.587,361,0
4002,0.0002,0.6278,423,0
6002,0.0002,0.6594,476,7
8001,0.0002,0.6742,508,23
10000,0.0002,0.6729,538,33
12000,0.0002,0.6852,566,39
14000,0.0003,0.7187,596,48
16000,0.0002,0.7156,623,55
18002,0.0002,0.7175,647,64
20000,0.0003,0.7112,671,82
22001,0.0002,0.6963,698,94
24000,0.0003,0.6994,723,107
26001,0.0002,0.719,737,126
28002,0.0003,0.7176,748,140
30000,0.0002,0.7149,769,144
32002,0.0003,0.713,789,148
34000,0.0002,0.7168,804,150
36000,0.0002,0.7273,819,150
38000,0.0003,0.706,830,151
40002,0.0002,0.7025,849,153
42001,0.0002,0.7118,859,155
44002,0.0002,0.7247,869,155
46000,0.0003,0.7167,878,155
48001,0.0002,0.7242,886,155
50002,0.0003,0.7365,893,155
52001,0.0003,0.7202,897,156
54000,0.0002,0.7187,903,157
56001,0.0002,0.7237,912,159
58001,0.0003,0.7401,918,163
60002,0.0002,0.7067,930,163
62001,0.0002,0.7182,939,165
64000,0.0003,0.7022,943,165
66002,0.0002,0.7106,951,170
68002,0.0003,0.7339,961,173
70000,0.0002,0.7403,968,173
72000,0.0002,0.7239,973,176
74000,0.0002,0.7162,976,177
76000,0.0003,0.7294,984,177
78001,0.0003,0.731,989,178
80001,0.0003,0.714,996,178
82000,0.0002,0.7188,1000,178
84001,0.0002,0.7105,1003,179
86002,0.0002,0.7184,1006,181
88002,0.0003,0.7298,1008,183
90002,0.0003,0.7464,1012,186
92000,0.0003,0.7485,1014,189
94001,0.0002,0.7254,1019,191
96002,0.0003,0.7304,1024,191
98001,0.0003,0.7339,1029,193
100002,0.0003,0.6981,1032,195
102000,0.0003,0.7411,1034,198
104001,0.0004,0.7305,1038,202
106002,0.0005,0.7325,1040,203
108001,0.0006,0.7386,1043,204
110000,0.0004,0.7391,1045,204
112002,0.0004,0.7013,1050,209
114002,0.0003,0.7251,1051,212
116001,0.0004,0.7241,1053,212
118002,0.0003,0.7409,1055,212
120001,0.0004,0.7372,1055,217
122001,0.0003,0.7301,1056,222
124000,0.0004,0.7467,1056,222
126000,0.0004,0.7246,1057,223
128001,0.0003,0.7566,1060,223
130000,0.0003,0.7437,1060,224
132000,0.0003,0.7463,1061,226
134002,0.0003,0.7218,1062,227
136002,0.0003,0.7316,1064,228
138000,0.0003,0.721,1067,230
140001,0.0004,0.7513,1069,231
142001,0.0004,0.7144,1070,231
144002,0.0003,0.7442,1071,233
146000,0.0003,0.716,1072,234
148001,0.0003,0.7359,1073,237
150002,0.0003,0.715,1073,237
152000,0.0003,0.7323,1073,240
154000,0.0003,0.7282,1074,240
156002,0.0003,0.7346,1075,241
158002,0.0004,0.7114,1076,242
160000,0.0003,0.7615,1079,247
162002,0.0004,0.7368,1080,250
164000,0.0004,0.7162,1081,252
166002,0.0003,0.7245,1081,254
168001,0.0003,0.7187,1081,257
170000,0.0003,0.7227,1081,258
172000,0.0003,0.739,1081,262
174000,0.0003,0.7151,1081,264
176001,0.0004,0.7168,1082,265
178001,0.0003,0.7159,1082,268
180000,0.0003,0.7291,1082,270
182002,0.0003,0.7546,1083,271
184000,0.0004,0.7281,1084,273
186002,0.0003,0.7125,1084,276
188000,0.0004,0.7367,1086,278
190001,0.0003,0.7295,1087,280
192002,0.0003,0.7386,1088,284
194002,0.0004,0.7268,1091,287
196002,0.0003,0.7326,1093,288
198000,0.0004,0.7264,1094,289
200001,0.0004,0.7288,1094,290
