steps,time,nodes,filtered_nodes
2001,0.41,409,0
4000,0.83,501,1
6000,1.3,587,6
8001,1.72,648,23
10001,2.16,690,37
12002,2.66,748,51
14000,3.16,788,59
16000,3.61,832,68
18002,4.08,869,76
20001,4.61,897,91
22002,5.04,923,106
24000,5.61,950,120
26001,6.09,982,131
28000,6.58,1000,142
30000,7.09,1027,147
32000,7.6,1049,148
34001,8.13,1069,151
36000,8.62,1087,151
38001,9.16,1108,151
40000,9.69,1124,151
42000,10.2,1136,151
44001,10.74,1152,151
46000,11.25,1172,151
48001,11.75,1188,153
50001,12.29,1205,154
52000,12.77,1224,156
54000,13.32,1245,157
56000,13.86,1258,159
58001,14.37,1274,160
60000,14.94,1285,163
62001,15.54,1300,166
64001,16.08,1314,168
66001,16.64,1326,169
68002,17.22,1338,175
70001,17.84,1359,177
72000,18.41,1377,177
74001,19.01,1390,179
76000,19.57,1399,180
78002,20.12,1415,181
80000,20.64,1420,185
82002,21.19,1429,186
84002,21.8,1447,189
86000,22.35,1459,190
88000,22.89,1473,193
90000,23.43,1482,194
92002,23.98,1488,199
94000,24.57,1497,204
96000,25.2,1508,208
98001,25.73,1522,210
100001,26.32,1531,212
102002,26.94,1545,214
104000,27.57,1553,215
106000,28.12,1567,217
108001,28.7,1574,221
110002,29.28,1588,221
112000,29.87,1598,222
114000,30.5,1605,225
116000,31.1,1620,227
118001,31.66,1629,229
120001,32.3,1640,231
122002,32.98,1651,231
124000,33.57,1664,232
126002,34.16,1672,234
128000,34.71,1677,236
130000,35.31,1681,239
132001,35.89,1688,241
134001,36.49,1696,241
136000,37.06,1702,243
138001,37.68,1713,243
140000,38.25,1718,245
142000,38.91,1727,247
144001,39.48,1736,249
146001,40.04,1744,250
148001,40.64,1749,251
150001,41.24,1757,252
152000,41.86,1764,254
154000,42.45,1775,258
156001,43.1,1781,264
158000,43.78,1787,271
160001,44.41,1791,272
162000,45.0,1800,274
164001,45.56,1803,277
166002,46.14,1809,279
168000,46.7,1814,280
170002,47.32,1816,280
172001,47.97,1823,283
174001,48.53,1828,286
176001,49.17,1835,290
178002,49.79,1837,292
180000,50.39,1846,297
182002,51.02,1848,301
184000,51.6,1854,305
186001,52.22,1857,308
188000,52.75,1865,309
190002,53.34,1873,315
192002,53.89,1880,321
194002,54.47,1890,322
196002,55.08,1895,327
198001,55.64,1900,331
200001,56.26,1904,332
