steps,time,nodes,filtered_nodes
10002,2.94,882,61
20003,6.28,1217,133
30003,9.83,1481,182
40000,13.61,1695,220
50000,17.43,1895,260
60002,21.39,2066,301
70000,25.61,2237,352
80000,29.88,2373,384
90000,34.3,2521,407
100000,38.99,2639,429
110000,43.68,2748,459
120003,48.35,2875,477
130000,53.19,2995,498
140002,58.22,3101,513
150002,63.22,3195,529
160002,68.37,3287,542
170002,73.61,3389,555
180001,78.87,3453,564
190001,84.06,3518,574
200000,89.36,3605,588
210000,94.82,3668,598
220000,100.39,3726,603
230003,112.62,3797,611
240001,119.99,3853,618
250000,125.77,3910,626
260001,131.55,3966,633
270002,137.36,4007,640
280000,143.09,4057,648
290003,149.05,4111,655
300000,154.82,4168,664
310000,160.59,4216,668
320002,166.53,4255,676
330002,172.57,4306,681
340001,178.54,4345,683
350000,184.44,4379,688
360001,190.39,4412,692
370003,196.36,4448,699
380003,202.41,4491,705
390001,208.4,4526,715
400000,214.68,4566,719
410001,220.66,4592,724
420001,226.59,4616,730
430000,232.85,4639,733
440003,239.08,4673,737
450001,245.4,4709,741
460000,251.68,4730,750
470000,257.83,4758,754
480000,264.23,4789,759
490001,270.76,4818,763
500003,277.06,4846,770
510003,283.36,4872,773
520000,289.8,4899,780
530002,296.37,4921,785
540000,302.91,4951,789
550002,309.37,4972,792
560001,315.86,4998,794
570001,322.46,5017,794
580001,328.9,5041,798
590002,335.51,5055,803
600000,342.11,5072,806
610001,348.62,5092,811
620001,355.27,5109,814
630002,361.93,5127,816
640000,368.65,5141,817
650000,375.39,5158,818
660002,382.22,5172,824
670001,389.03,5189,826
680000,395.58,5204,830
690001,402.23,5214,836
700001,408.91,5226,840
710001,415.82,5236,842
720001,422.44,5249,846
730000,429.08,5265,848
740000,435.63,5277,851
750001,442.28,5290,854
760002,448.75,5298,855
770000,455.74,5312,856
780000,462.71,5324,859
790000,469.42,5337,860
800002,476.18,5344,860
810002,483.16,5355,861
820003,490.01,5366,863
830001,496.9,5373,864
840002,503.84,5384,867
850001,510.77,5392,867
860000,517.41,5399,868
870001,524.13,5412,870
880000,530.96,5417,870
890002,538.06,5432,872
900000,544.7,5443,872
910000,551.6,5456,872
920002,558.67,5463,874
930001,565.59,5479,874
940003,572.47,5486,875
950003,579.18,5494,876
960002,586.12,5506,876
970003,592.96,5514,876
980001,599.83,5522,876
990000,606.95,5534,877
1000002,614.19,5542,879
