total_steps,value
10,0.0
200,0.0001
400,0.0001
600,0.0002
800,0.0002
1000,0.0002
1200,0.0003
1400,0.0002
1600,0.0002
1800,0.0002
2000,0.0002
2200,0.0003
2400,0.0004
2600,0.0003
2800,0.0003
3000,0.0003
3200,0.0002
3400,0.0003
3600,0.0002
3800,0.0002
4000,0.0002
4200,0.0002
4400,0.0002
4600,0.0002
4800,0.0003
5000,0.0002
5200,0.0002
5400,0.0003
5600,0.0002
5800,0.0002
6000,0.0003
6200,0.0003
6400,0.0002
6600,0.0002
6800,0.0003
7000,0.0003
7200,0.0004
7400,0.0003
7600,0.0003
7800,0.0003
8000,0.0002
8200,0.0001
8400,0.0002
8600,0.0002
8800,0.0003
9000,0.0003
9200,0.0003
9400,0.0002
9600,0.0003
9800,0.0002
10000,0.0002
10200,0.0003
10400,0.0004
10600,0.0002
10800,0.0003
11000,0.0003
11200,0.0002
11400,0.0002
11600,0.0003
11800,0.0002
12000,0.0003
12200,0.0002
12400,0.0003
12600,0.0002
12800,0.0003
13000,0.0002
13200,0.0003
13400,0.0002
13600,0.0002
13800,0.0003
14000,0.0002
14200,0.0003
14400,0.0002
14600,0.0003
14800,0.0003
15000,0.0002
15200,0.0003
15400,0.0002
15600,0.0002
15800,0.0003
16000,0.0002
16200,0.0002
16400,0.0002
16600,0.0003
16800,0.0002
17000,0.0002
17200,0.0002
17400,0.0003
17600,0.0002
17800,0.0002
18000,0.0003
18200,0.0002
18400,0.0002
18600,0.0003
18800,0.0002
19000,0.0002
19200,0.0002
19400,0.0002
19600,0.0003
19800,0.0002
20000,0.0002
