total_steps,value
10,12
10000,2362
20000,3799
30000,4919
40000,5806
50000,6542
60000,7142
70000,7659
80000,8150
90000,8574
100000,8982
110000,9335
120000,9640
130000,9925
140000,10197
150000,10453
160000,10685
170000,10880
180000,11077
190000,11279
200000,11469
210000,11664
220000,11849
230000,11997
240000,12144
250000,12294
260000,12430
270000,12562
280000,12722
290000,12847
300000,12972
310000,13070
320000,13182
330000,13277
340000,13371
350000,13470
360000,13568
370000,13652
380000,13758
390000,13856
400000,13942
410000,14019
420000,14088
430000,14164
440000,14235
450000,14299
460000,14361
470000,14441
480000,14500
490000,14552
500000,14600
510000,14652
520000,14702
530000,14761
540000,14807
550000,14864
560000,14920
570000,14962
580000,14994
590000,15038
600000,15089
610000,15135
620000,15177
630000,15209
640000,15254
650000,15298
660000,15345
670000,15381
680000,15421
690000,15464
700000,15507
710000,15537
720000,15574
730000,15614
740000,15653
750000,15684
760000,15720
770000,15751
780000,15793
790000,15829
800000,15855
810000,15880
820000,15911
830000,15944
840000,15983
850000,16010
860000,16048
870000,16067
880000,16089
890000,16125
900000,16152
910000,16172
920000,16197
930000,16223
940000,16249
950000,16272
960000,16293
970000,16331
980000,16350
990000,16375
1000000,16397
