steps,time_per_step,pred_success,nodes,filtered_nodes
5000,0.0002,0.9344,199,16
10000,0.0002,0.9328,268,22
15000,0.0002,0.9075,365,26
20000,0.0002,0.8305,551,48
25000,0.0003,0.6861,829,85
30000,0.0003,0.6967,1087,140
35000,0.0005,0.7088,1273,190
40000,0.0006,0.7219,1452,228
45000,0.0004,0.727,1584,278
50000,0.0004,0.7273,1725,325
55000,0.0004,0.7209,1829,373
60000,0.0005,0.725,1936,402
65000,0.0008,0.724,2050,430
70000,0.0005,0.7255,2165,460
75000,0.0005,0.7349,2249,488
80000,0.0005,0.7363,2338,514
85000,0.0006,0.7451,2404,544
90000,0.0008,0.7436,2467,575
95000,0.0005,0.7465,2541,601
100000,0.0005,0.7452,2601,630
105000,0.0006,0.7452,2681,654
110000,0.0009,0.7481,2744,671
115000,0.0006,0.7438,2812,696
120000,0.0006,0.7446,2867,711
125000,0.0006,0.7426,2909,735
130000,0.0009,0.7471,2956,755
135000,0.0006,0.7397,3001,774
140000,0.0006,0.7533,3039,793
145000,0.0007,0.7475,3076,813
150000,0.0009,0.7605,3123,829
155000,0.0007,0.7514,3158,840
160000,0.0006,0.7519,3189,854
165000,0.0008,0.7542,3220,875
170000,0.0008,0.7497,3247,890
175000,0.0007,0.7607,3275,899
180000,0.0007,0.7658,3303,915
185000,0.001,0.7584,3339,930
190000,0.0007,0.7569,3367,937
195000,0.0007,0.7579,3391,942
200000,0.0009,0.7582,3420,954
205000,0.0009,0.755,3452,970
210000,0.0007,0.7623,3489,981
215000,0.0007,0.7546,3512,992
220000,0.0011,0.7567,3535,1000
225000,0.0007,0.7657,3563,1010
230000,0.0007,0.7542,3579,1017
235000,0.0011,0.7495,3597,1020
240000,0.0007,0.7668,3616,1024
245000,0.0008,0.7618,3640,1035
250000,0.001,0.7628,3660,1039
255000,0.0009,0.7594,3687,1045
260000,0.0008,0.7679,3706,1053
265000,0.001,0.7604,3723,1060
270000,0.0009,0.7632,3742,1069
275000,0.0007,0.7607,3762,1075
280000,0.0008,0.7598,3788,1084
285000,0.001,0.7652,3803,1093
290000,0.0008,0.7584,3817,1104
295000,0.0008,0.7643,3830,1110
300000,0.0011,0.7585,3846,1116
305000,0.0008,0.7663,3862,1123
310000,0.0008,0.7614,3875,1129
315000,0.0011,0.7619,3885,1135
320000,0.0008,0.7583,3901,1138
325000,0.0008,0.7593,3916,1147
330000,0.0011,0.7599,3928,1153
335000,0.0008,0.7658,3944,1158
340000,0.0008,0.7627,3954,1170
345000,0.0011,0.773,3968,1179
350000,0.0008,0.7693,3981,1186
355000,0.0008,0.7705,3998,1192
360000,0.0011,0.7724,4010,1196
365000,0.0008,0.7737,4025,1200
370000,0.0008,0.7656,4037,1204
375000,0.0011,0.7752,4055,1212
380000,0.0008,0.7642,4060,1218
385000,0.0008,0.7727,4072,1225
390000,0.0011,0.769,4080,1233
395000,0.0008,0.7642,4088,1239
400000,0.0008,0.7662,4098,1242
405000,0.0011,0.7703,4109,1246
410000,0.0008,0.7668,4113,1249
415000,0.0008,0.7709,4126,1252
420000,0.0011,0.7655,4133,1256
425000,0.0009,0.7707,4142,1257
430000,0.0009,0.7706,4149,1262
435000,0.0011,0.7737,4159,1266
440000,0.0008,0.7688,4166,1273
445000,0.0009,0.76,4174,1276
450000,0.0011,0.7694,4183,1279
455000,0.0008,0.7685,4194,1280
460000,0.001,0.7691,4199,1282
465000,0.0011,0.7693,4203,1290
470000,0.0009,0.7682,4214,1295
475000,0.0011,0.766,4219,1297
480000,0.0009,0.7666,4224,1301
485000,0.0008,0.7614,4231,1304
490000,0.0012,0.7662,4236,1307
495000,0.0009,0.7679,4243,1310
500000,0.0008,0.7683,4255,1312
