steps,time_per_step,pred_success,nodes,filtered_nodes
5000,0.0003,0.5179,1187,43
10000,0.0006,0.5043,1899,83
15000,0.001,0.5007,2438,140
20000,0.0008,0.4967,2907,187
25000,0.0008,0.5031,3243,212
30000,0.0013,0.5047,3542,228
35000,0.001,0.5039,3769,236
40000,0.0015,0.5025,3954,256
45000,0.0012,0.5097,4093,272
50000,0.0017,0.5132,4217,289
55000,0.0013,0.5038,4325,312
60000,0.0015,0.5032,4408,333
65000,0.0012,0.5136,4475,367
70000,0.0016,0.5018,4543,397
75000,0.0013,0.5069,4590,426
80000,0.0017,0.5116,4634,458
85000,0.0013,0.5086,4682,498
90000,0.0017,0.4967,4723,536
95000,0.0016,0.5023,4746,555
100000,0.0013,0.5039,4776,576
105000,0.0016,0.5071,4800,587
110000,0.0013,0.5054,4819,598
115000,0.0016,0.5061,4836,606
120000,0.0013,0.5047,4848,612
125000,0.0017,0.5055,4858,621
130000,0.0013,0.4977,4866,632
135000,0.0017,0.5038,4878,638
140000,0.0015,0.4991,4882,654
145000,0.0015,0.5029,4889,661
150000,0.0016,0.5045,4895,667
155000,0.0015,0.4997,4905,677
160000,0.0016,0.5038,4909,687
165000,0.0013,0.5103,4910,692
170000,0.0016,0.5047,4918,702
175000,0.0013,0.5061,4919,711
180000,0.0016,0.5033,4921,717
185000,0.0013,0.4971,4924,727
190000,0.0016,0.5009,4926,736
195000,0.0012,0.5088,4927,742
200000,0.0017,0.5085,4928,754
205000,0.0015,0.5067,4929,768
210000,0.0015,0.5016,4929,777
215000,0.0015,0.5063,4932,781
220000,0.0013,0.5108,4933,793
225000,0.0016,0.5067,4933,803
230000,0.0013,0.5042,4934,814
235000,0.0016,0.5043,4936,822
240000,0.0013,0.4982,4937,832
245000,0.0016,0.5126,4937,848
250000,0.0012,0.4956,4938,863
255000,0.0017,0.4967,4940,877
260000,0.0014,0.499,4940,889
265000,0.0016,0.5029,4940,900
270000,0.0014,0.5053,4941,916
275000,0.0015,0.5013,4943,928
280000,0.0016,0.4931,4944,940
285000,0.0013,0.5077,4944,957
290000,0.0016,0.5076,4944,971
295000,0.0013,0.5015,4944,979
300000,0.0016,0.5081,4944,998
305000,0.0014,0.503,4944,1018
310000,0.0016,0.5011,4944,1035
315000,0.0013,0.5041,4944,1051
320000,0.0017,0.503,4944,1061
325000,0.0012,0.5068,4945,1072
330000,0.0017,0.504,4945,1083
335000,0.0013,0.513,4945,1091
340000,0.0015,0.4945,4945,1102
345000,0.0014,0.5078,4945,1117
350000,0.0013,0.4983,4945,1130
355000,0.0016,0.5018,4945,1142
360000,0.0012,0.5057,4945,1153
365000,0.0016,0.5038,4945,1160
370000,0.0012,0.498,4945,1169
375000,0.0016,0.5055,4945,1179
380000,0.0012,0.5098,4946,1191
385000,0.0016,0.5017,4946,1210
390000,0.0012,0.5085,4946,1223
395000,0.0016,0.5065,4946,1230
400000,0.0012,0.5049,4946,1246
405000,0.0016,0.5012,4946,1260
410000,0.0013,0.5046,4946,1271
415000,0.0016,0.5032,4946,1282
420000,0.0013,0.4965,4946,1288
425000,0.0015,0.5073,4946,1297
430000,0.0012,0.5076,4946,1309
435000,0.0015,0.5029,4946,1320
440000,0.0014,0.4977,4946,1327
445000,0.0015,0.5032,4946,1335
450000,0.0016,0.5019,4946,1341
455000,0.0013,0.5086,4946,1346
460000,0.0017,0.495,4946,1352
465000,0.0014,0.5013,4946,1361
470000,0.0017,0.4979,4946,1366
475000,0.0017,0.5037,4946,1370
480000,0.0018,0.5061,4946,1380
485000,0.0018,0.5035,4946,1381
490000,0.0013,0.5058,4946,1387
495000,0.0017,0.5026,4946,1392
500000,0.0019,0.4969,4946,1397
