steps,time_per_step,pred_success,nodes,filtered_nodes
5000,0.0002,0.6805,780,33
10000,0.0004,0.7075,1101,70
15000,0.0006,0.725,1405,103
20000,0.0004,0.7254,1657,152
25000,0.0004,0.7208,1870,186
30000,0.0005,0.728,2060,201
35000,0.0005,0.7302,2259,216
40000,0.001,0.7308,2430,226
45000,0.0006,0.7264,2566,236
50000,0.0006,0.7345,2711,251
55000,0.0006,0.7374,2829,271
60000,0.001,0.7343,2957,286
65000,0.0007,0.7241,3073,299
70000,0.0007,0.7397,3165,321
75000,0.0009,0.7388,3260,347
80000,0.0008,0.748,3344,370
85000,0.0007,0.7431,3420,391
90000,0.001,0.7432,3511,418
95000,0.001,0.7467,3566,440
100000,0.0007,0.7491,3629,465
105000,0.0008,0.7438,3696,484
110000,0.0011,0.7467,3763,500
115000,0.0008,0.7476,3810,511
120000,0.0008,0.7421,3852,523
125000,0.0012,0.745,3897,540
130000,0.0008,0.7486,3942,554
135000,0.0008,0.7571,3970,562
140000,0.0011,0.7569,4007,574
145000,0.0009,0.7523,4046,584
150000,0.0008,0.7553,4080,591
155000,0.0012,0.7565,4106,600
160000,0.0009,0.7479,4139,607
165000,0.001,0.7575,4177,616
170000,0.0011,0.7588,4202,624
175000,0.0009,0.7629,4226,635
180000,0.0012,0.7574,4249,641
185000,0.0008,0.7586,4269,648
190000,0.0009,0.7568,4290,653
195000,0.0013,0.7625,4304,658
200000,0.0008,0.7541,4319,662
205000,0.001,0.7568,4345,666
210000,0.0011,0.7562,4370,675
215000,0.001,0.7623,4381,677
220000,0.0013,0.7544,4393,685
225000,0.0009,0.7516,4407,690
230000,0.0012,0.7587,4423,699
235000,0.0012,0.7566,4437,705
240000,0.0009,0.7584,4457,712
245000,0.0015,0.7534,4470,717
250000,0.001,0.764,4487,718
255000,0.0015,0.7642,4502,728
260000,0.0013,0.7602,4514,737
265000,0.0017,0.7652,4523,743
270000,0.0012,0.752,4535,748
275000,0.0018,0.7584,4545,759
280000,0.001,0.7561,4556,767
285000,0.0017,0.7572,4563,773
290000,0.001,0.7611,4572,779
295000,0.0018,0.7596,4580,786
300000,0.0012,0.7708,4593,792
305000,0.0015,0.7611,4599,807
310000,0.0011,0.7723,4606,822
315000,0.0017,0.7704,4612,829
320000,0.0017,0.7571,4621,839
325000,0.0014,0.7632,4632,845
330000,0.001,0.7665,4640,854
335000,0.0012,0.7523,4649,859
340000,0.0013,0.7652,4654,866
345000,0.0011,0.7642,4662,877
350000,0.0014,0.766,4666,882
355000,0.0012,0.772,4672,894
360000,0.0017,0.7619,4676,898
365000,0.0011,0.7641,4680,907
370000,0.0016,0.7664,4685,918
375000,0.0012,0.765,4692,926
380000,0.0015,0.772,4698,937
385000,0.0011,0.7672,4706,941
390000,0.0014,0.7709,4710,956
395000,0.001,0.7735,4714,967
400000,0.0011,0.7587,4716,975
405000,0.0013,0.7705,4719,984
410000,0.001,0.7653,4723,995
415000,0.0014,0.7715,4728,998
420000,0.0009,0.7732,4732,1004
425000,0.0012,0.7671,4737,1009
430000,0.0011,0.7727,4740,1019
435000,0.0011,0.7702,4746,1027
440000,0.0013,0.7694,4750,1035
445000,0.0013,0.7631,4754,1043
450000,0.0015,0.7678,4759,1055
455000,0.0012,0.7599,4764,1068
460000,0.0014,0.7683,4767,1078
465000,0.001,0.7712,4772,1085
470000,0.0014,0.7815,4778,1097
475000,0.001,0.7715,4778,1111
480000,0.0013,0.7712,4780,1118
485000,0.0012,0.7652,4785,1130
490000,0.0011,0.7698,4789,1142
495000,0.0015,0.7703,4793,1150
500000,0.0014,0.7661,4795,1157
