steps,time_per_step,pred_success,nodes,filtered_nodes
1000,0.0001,0.9534,88,8
2000,0.0002,0.8997,140,13
3000,0.0002,0.9079,164,16
4000,0.0002,0.8759,178,18
5000,0.0002,0.8893,189,23
6000,0.0002,0.8752,210,23
7000,0.0002,0.8988,225,24
8000,0.0002,0.875,237,24
9000,0.0002,0.9149,246,26
10000,0.0002,0.91,257,28
11000,0.0002,0.8709,268,29
12000,0.0002,0.8852,281,34
13000,0.0003,0.8955,293,35
14000,0.0003,0.9078,299,37
15000,0.0002,0.9158,307,38
16000,0.0002,0.9182,309,40
17000,0.0003,0.9049,319,43
18000,0.0002,0.9359,325,46
19000,0.0002,0.8739,338,50
20000,0.0002,0.9065,342,52
21000,0.0003,0.9179,348,54
22000,0.0004,0.9042,355,55
23000,0.0004,0.8914,362,57
24000,0.0004,0.8769,370,59
25000,0.0004,0.8742,380,63
26000,0.0004,0.9052,384,63
27000,0.0004,0.8864,398,65
28000,0.0004,0.8675,407,68
29000,0.0004,0.9328,414,67
30000,0.0004,0.9039,423,70
31000,0.0004,0.9361,431,75
32000,0.0004,0.9186,432,75
33000,0.0002,0.9191,438,75
34000,0.0002,0.907,443,78
35000,0.0002,0.9135,449,79
36000,0.0002,0.8854,452,79
37000,0.0002,0.9348,455,79
38000,0.0002,0.916,461,83
39000,0.0002,0.8764,467,86
40000,0.0002,0.8924,474,88
41000,0.0002,0.8641,485,94
42000,0.0002,0.8793,490,98
43000,0.0002,0.767,509,102
44000,0.0003,0.7098,538,107
45000,0.0003,0.69,556,111
46000,0.0003,0.722,566,118
47000,0.0003,0.7233,580,132
48000,0.0003,0.727,601,141
49000,0.0003,0.7145,619,151
50000,0.0003,0.7265,623,159
51000,0.0003,0.7435,642,165
52000,0.0003,0.7475,654,172
53000,0.0003,0.7637,661,183
54000,0.0003,0.7456,669,190
55000,0.0003,0.7527,679,192
56000,0.0003,0.7203,681,198
57000,0.0003,0.7279,683,203
58000,0.0003,0.7371,688,206
59000,0.0003,0.7349,698,217
60000,0.0003,0.7733,701,221
61000,0.0003,0.7384,711,226
62000,0.0003,0.7237,716,229
63000,0.0003,0.7404,721,232
64000,0.0003,0.7416,728,240
65000,0.0004,0.7595,733,244
66000,0.0003,0.7709,740,249
67000,0.0004,0.7728,747,255
68000,0.0005,0.7662,754,258
69000,0.0005,0.7586,756,262
70000,0.0005,0.7725,758,266
71000,0.0005,0.7761,767,267
72000,0.0005,0.7608,773,268
73000,0.0005,0.7443,776,270
74000,0.0006,0.7508,777,271
75000,0.0004,0.7577,780,275
76000,0.0003,0.7543,785,279
77000,0.0003,0.7479,791,279
78000,0.0003,0.7415,795,279
79000,0.0003,0.7358,799,280
80000,0.0003,0.7636,803,280
81000,0.0003,0.7766,805,283
82000,0.0003,0.7924,813,286
83000,0.0003,0.7679,815,287
84000,0.0003,0.7624,817,288
85000,0.0003,0.7562,826,291
86000,0.0003,0.7716,829,296
87000,0.0003,0.7488,834,298
88000,0.0003,0.7631,836,301
89000,0.0003,0.7662,844,301
90000,0.0003,0.7767,849,301
91000,0.0003,0.7795,854,302
92000,0.0003,0.752,858,304
93000,0.0003,0.744,859,307
94000,0.0003,0.7675,873,309
95000,0.0003,0.7651,876,311
96000,0.0003,0.7592,879,314
97000,0.0003,0.8083,880,317
98000,0.0003,0.7405,884,316
99000,0.0003,0.7895,891,319
100000,0.0003,0.7602,897,321
