steps,time_per_step,pred_success,nodes,filtered_nodes
500,0.0002,0.6959,166,5
1000,0.0002,0.6378,193,5
1500,0.0002,0.5887,203,11
2000,0.0002,0.6032,209,16
2500,0.0002,0.6248,214,28
3000,0.0003,0.5896,224,35
3500,0.0004,0.6177,235,38
4000,0.0004,0.594,239,42
4500,0.0004,0.5943,247,46
5000,0.0004,0.6227,249,49
5500,0.0004,0.6123,253,53
6000,0.0004,0.6063,255,56
6500,0.0004,0.6086,275,58
7000,0.0002,0.5342,302,61
7500,0.0002,0.5178,340,61
8000,0.0002,0.4839,379,62
8500,0.0003,0.4556,418,63
9000,0.0002,0.4254,487,65
9500,0.0003,0.3945,544,65
10000,0.0003,0.3923,588,67
10500,0.0003,0.3946,627,68
11000,0.0003,0.3705,666,70
11500,0.0003,0.3973,701,73
12000,0.0003,0.3697,734,76
12500,0.0003,0.365,749,81
13000,0.0003,0.3833,770,85
13500,0.0003,0.3826,790,89
14000,0.0003,0.3833,804,93
14500,0.0004,0.3667,822,99
15000,0.0003,0.3739,846,107
15500,0.0004,0.3786,866,111
16000,0.0004,0.3716,886,119
16500,0.0004,0.3819,903,123
17000,0.0004,0.3819,916,130
17500,0.0005,0.3967,933,131
18000,0.0005,0.3883,945,136
18500,0.0009,0.3776,956,139
19000,0.0008,0.3761,972,147
19500,0.0007,0.3906,983,152
20000,0.0007,0.3755,997,161
20500,0.0006,0.3768,1006,166
21000,0.0004,0.3846,1011,174
21500,0.0004,0.3917,1020,183
22000,0.0004,0.3683,1025,191
22500,0.0004,0.3788,1028,195
23000,0.0004,0.3819,1031,198
23500,0.0004,0.3834,1039,207
24000,0.0004,0.3838,1046,208
24500,0.0004,0.3686,1054,216
25000,0.0004,0.3841,1061,220
25500,0.0004,0.3809,1071,226
26000,0.0004,0.3823,1078,234
26500,0.0004,0.384,1084,237
27000,0.0004,0.3827,1096,245
27500,0.0004,0.3775,1102,250
28000,0.0004,0.38,1105,251
28500,0.0004,0.3725,1113,255
29000,0.0004,0.3808,1117,264
29500,0.0005,0.3768,1123,272
30000,0.0006,0.3771,1133,280
30500,0.0008,0.3912,1141,283
31000,0.0008,0.3826,1150,283
31500,0.0007,0.3768,1156,285
32000,0.0006,0.3824,1159,286
32500,0.0004,0.3945,1161,293
33000,0.0004,0.3758,1168,296
33500,0.0004,0.3771,1170,301
34000,0.0004,0.3802,1176,304
34500,0.0004,0.3758,1183,311
35000,0.0004,0.3762,1186,322
35500,0.0004,0.3847,1190,325
36000,0.0004,0.3805,1195,326
36500,0.0004,0.3771,1198,330
37000,0.0004,0.369,1200,336
37500,0.0004,0.3864,1203,341
38000,0.0004,0.382,1203,345
38500,0.0004,0.3754,1203,347
39000,0.0004,0.3837,1204,351
39500,0.0004,0.3786,1207,353
40000,0.0004,0.3873,1208,355
40500,0.0004,0.3834,1209,359
41000,0.0005,0.3723,1213,360
41500,0.0008,0.3666,1213,362
42000,0.0007,0.3771,1214,365
42500,0.0007,0.3717,1216,368
43000,0.0007,0.3858,1218,370
43500,0.0005,0.3894,1218,372
44000,0.0004,0.3792,1219,375
44500,0.0004,0.3962,1220,377
45000,0.0004,0.3805,1222,380
45500,0.0004,0.3846,1222,381
46000,0.0004,0.3776,1222,386
46500,0.0004,0.383,1224,390
47000,0.0004,0.374,1224,392
47500,0.0005,0.3826,1225,394
48000,0.0004,0.3802,1225,394
48500,0.0004,0.3768,1225,395
49000,0.0004,0.3791,1225,399
49500,0.0004,0.3912,1225,399
50000,0.0005,0.372,1225,400
