steps,time_per_step,pred_success,nodes,filtered_nodes
500,0.0004,0.5611,390,0
1000,0.0004,0.5187,540,2
1500,0.0005,0.5193,640,7
2000,0.0005,0.5166,728,8
2500,0.0004,0.5187,806,11
3000,0.0003,0.5353,871,21
3500,0.0003,0.4873,928,30
4000,0.0004,0.4854,999,35
4500,0.0004,0.5181,1052,40
5000,0.0004,0.5051,1096,43
5500,0.0004,0.498,1141,48
6000,0.0004,0.5133,1167,52
6500,0.0004,0.496,1205,54
7000,0.0004,0.4897,1230,60
7500,0.0004,0.4845,1257,64
8000,0.0005,0.4888,1292,67
8500,0.0005,0.4664,1306,72
9000,0.0005,0.5165,1322,77
9500,0.0005,0.4975,1337,79
10000,0.0004,0.5066,1346,84
10500,0.0004,0.5214,1354,86
11000,0.0004,0.5181,1367,92
11500,0.0004,0.5071,1382,101
12000,0.0006,0.504,1389,103
12500,0.0008,0.4941,1397,111
13000,0.0008,0.5155,1403,120
13500,0.0007,0.5097,1406,129
14000,0.0009,0.5118,1410,137
14500,0.0005,0.5165,1410,141
15000,0.0004,0.5241,1415,147
15500,0.0005,0.5005,1418,153
16000,0.0005,0.5081,1419,159
16500,0.0004,0.5203,1422,169
17000,0.0005,0.4946,1423,173
17500,0.0005,0.5051,1423,177
18000,0.0004,0.503,1425,179
18500,0.0004,0.4995,1427,185
19000,0.0004,0.5225,1428,188
19500,0.0005,0.5319,1429,191
20000,0.0004,0.5214,1431,193
20500,0.0005,0.5112,1431,195
21000,0.0004,0.5176,1433,198
21500,0.0004,0.5181,1434,200
22000,0.0004,0.5133,1436,202
22500,0.0005,0.4798,1437,206
23000,0.0005,0.4975,1437,206
23500,0.0008,0.5061,1437,207
24000,0.0008,0.5258,1437,209
24500,0.0007,0.5102,1437,212
25000,0.0008,0.4902,1437,214
25500,0.0006,0.5015,1437,214
26000,0.0005,0.4955,1438,214
26500,0.0005,0.4995,1439,215
27000,0.0005,0.5102,1439,216
27500,0.0005,0.5051,1441,218
28000,0.0005,0.4936,1441,218
28500,0.0005,0.5025,1441,219
29000,0.0006,0.5208,1441,220
29500,0.0005,0.5,1441,222
30000,0.0005,0.5128,1441,225
30500,0.0005,0.5394,1441,227
31000,0.0005,0.5208,1441,230
31500,0.0005,0.516,1441,232
32000,0.0005,0.5353,1441,234
32500,0.0005,0.495,1441,237
33000,0.0005,0.503,1441,238
33500,0.0006,0.5155,1441,239
34000,0.0008,0.5325,1441,242
34500,0.0008,0.5092,1441,243
35000,0.0008,0.4965,1442,244
35500,0.0008,0.5123,1442,246
36000,0.0005,0.5263,1442,248
36500,0.0005,0.5176,1443,250
37000,0.0005,0.4916,1443,253
37500,0.0004,0.5025,1443,254
38000,0.0004,0.5051,1443,256
38500,0.0005,0.5128,1443,256
39000,0.0005,0.4921,1443,258
39500,0.0004,0.5071,1443,260
40000,0.0005,0.501,1443,261
40500,0.0005,0.503,1443,262
41000,0.0005,0.4965,1443,263
41500,0.0005,0.4864,1443,265
42000,0.0005,0.484,1443,265
42500,0.0005,0.5,1443,266
43000,0.0005,0.5214,1443,267
43500,0.0004,0.5097,1443,268
44000,0.0005,0.4822,1443,269
44500,0.0008,0.495,1443,271
45000,0.0008,0.4766,1443,274
45500,0.0008,0.5203,1443,275
46000,0.0008,0.5171,1443,275
46500,0.0006,0.497,1443,277
47000,0.0005,0.4941,1444,279
47500,0.0004,0.5123,1444,279
48000,0.0005,0.5102,1444,280
48500,0.0005,0.4902,1444,281
49000,0.0005,0.5092,1444,285
49500,0.0004,0.4757,1444,286
50000,0.0005,0.5005,1444,289
