steps,time_per_step,pred_success,nodes,filtered_nodes
500,0.0002,0.6203,358,0
1000,0.0003,0.605,438,0
1500,0.0002,0.6533,490,5
2000,0.0002,0.6455,542,8
2500,0.0003,0.6883,580,9
3000,0.0002,0.689,610,11
3500,0.0003,0.7101,632,19
4000,0.0003,0.689,666,26
4500,0.0003,0.6855,695,31
5000,0.0003,0.745,719,38
5500,0.0003,0.6957,741,43
6000,0.0003,0.7065,770,46
6500,0.0004,0.7282,790,51
7000,0.0006,0.7148,816,53
7500,0.0006,0.6901,841,57
8000,0.0005,0.7135,872,61
8500,0.0005,0.6739,889,64
9000,0.0006,0.7075,911,66
9500,0.0004,0.6986,936,68
10000,0.0003,0.7292,951,73
10500,0.0003,0.702,963,75
11000,0.0003,0.6954,984,79
11500,0.0003,0.6957,1002,84
12000,0.0004,0.7038,1011,86
12500,0.0004,0.7568,1023,88
13000,0.0005,0.6901,1042,92
13500,0.0004,0.7254,1054,93
14000,0.0004,0.6936,1066,104
14500,0.0004,0.7075,1079,107
15000,0.0004,0.6939,1094,113
15500,0.0004,0.7087,1099,121
16000,0.0004,0.715,1101,127
16500,0.0004,0.7587,1112,138
17000,0.0004,0.7423,1120,143
17500,0.0003,0.7097,1129,150
18000,0.0004,0.7295,1137,155
18500,0.0003,0.7334,1139,158
19000,0.0004,0.6923,1147,160
19500,0.0005,0.7032,1156,166
20000,0.0008,0.708,1162,169
20500,0.0007,0.7234,1176,173
21000,0.0007,0.7227,1183,178
21500,0.0007,0.724,1191,179
22000,0.0006,0.7314,1194,182
22500,0.0004,0.6856,1198,184
23000,0.0004,0.7192,1202,186
23500,0.0004,0.7211,1211,189
24000,0.0006,0.7046,1214,189
24500,0.0005,0.7024,1222,189
25000,0.0005,0.7443,1224,192
25500,0.0004,0.6954,1227,194
26000,0.0004,0.7167,1236,195
26500,0.0004,0.7179,1242,199
27000,0.0004,0.7054,1248,200
27500,0.0004,0.7401,1250,201
28000,0.0004,0.7413,1253,202
28500,0.0004,0.7104,1256,203
29000,0.0004,0.7339,1260,204
29500,0.0004,0.736,1266,205
30000,0.0004,0.6897,1273,208
30500,0.0003,0.7521,1276,208
31000,0.0005,0.7325,1282,211
31500,0.0006,0.7351,1288,211
32000,0.0006,0.7456,1291,213
32500,0.0006,0.736,1297,217
33000,0.0006,0.7242,1299,217
33500,0.0006,0.7403,1302,219
34000,0.0005,0.7324,1303,219
34500,0.0004,0.7157,1305,221
35000,0.0005,0.714,1307,224
35500,0.0004,0.7291,1310,225
36000,0.0004,0.7174,1311,225
36500,0.0004,0.7215,1315,226
37000,0.0004,0.7356,1317,226
37500,0.0004,0.7449,1323,227
38000,0.0004,0.738,1326,228
38500,0.0004,0.747,1327,232
39000,0.0004,0.7211,1332,233
39500,0.0004,0.7195,1336,234
40000,0.0004,0.7586,1340,234
40500,0.0003,0.7564,1340,235
41000,0.0003,0.7262,1340,236
41500,0.0004,0.7413,1341,239
42000,0.0004,0.7276,1344,240
42500,0.0004,0.7062,1347,241
43000,0.0004,0.7239,1351,241
43500,0.0006,0.7434,1352,242
44000,0.0006,0.7483,1355,244
44500,0.0007,0.7466,1355,245
45000,0.0008,0.6978,1358,246
45500,0.0007,0.732,1359,248
46000,0.0004,0.7021,1360,248
46500,0.0004,0.699,1360,249
47000,0.0003,0.7036,1360,251
47500,0.0004,0.7324,1362,253
48000,0.0004,0.756,1362,256
48500,0.0004,0.7436,1363,256
49000,0.0004,0.7414,1364,256
49500,0.0004,0.7474,1365,258
50000,0.0004,0.7413,1368,258
