name,pos_x,pos_y,orientation,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8
T,-2,-1,0,1,0,0,0,0,0,0,0,0
T,-2,-1,1,1,0,0,0,0,0,0,0,0
T,-2,-1,2,1,0,0,0,0,0,0,0,0
T,-2,0,0,0,1,0,0,0,0,0,0,0
T,-2,0,1,0,1,0,0,0,0,0,0,0
T,-2,0,2,0,1,0,0,0,0,0,0,0
T,-2,1,0,0,0,1,0,0,0,0,0,0
T,-2,1,1,0,0,1,0,0,0,0,0,0
T,-2,1,2,0,0,1,0,0,0,0,0,0
T,-1,-2,1,1,0,0,0,0,0,0,0,0
T,-1,-2,2,1,0,0,0,0,0,0,0,0
T,-1,-2,3,1,0,0,0,0,0,0,0,0
T,-1,-1,0,1,0,0,1,0,0,0,0,0
T,-1,-1,1,1,1,0,1,0,0,0,0,0
T,-1,-1,2,1,1,0,1,0,0,0,0,0
T,-1,-1,3,1,1,0,0,0,0,0,0,0
T,-1,0,0,1,1,0,0,1,0,0,0,0
T,-1,0,1,1,1,1,0,1,0,0,0,0
T,-1,0,2,0,1,1,0,1,0,0,0,0
T,-1,0,3,1,1,1,0,0,0,0,0,0
T,-1,1,0,0,1,1,0,0,1,0,0,0
T,-1,1,1,0,1,1,0,0,1,0,0,0
T,-1,1,2,0,0,1,0,0,1,0,0,0
T,-1,1,3,0,1,1,0,0,0,0,0,0
T,-1,2,0,0,0,1,0,0,0,0,0,0
T,-1,2,1,0,0,1,0,0,0,0,0,0
T,-1,2,3,0,0,1,0,0,0,0,0,0
T,0,-2,1,0,0,0,1,0,0,0,0,0
T,0,-2,2,0,0,0,1,0,0,0,0,0
T,0,-2,3,0,0,0,1,0,0,0,0,0
T,0,-1,0,1,0,0,1,0,0,1,0,0
T,0,-1,1,0,0,0,1,1,0,1,0,0
T,0,-1,2,1,0,0,1,1,0,1,0,0
T,0,-1,3,1,0,0,1,1,0,0,0,0
T,0,0,0,0,1,0,1,1,0,0,1,0
T,0,0,1,0,0,0,1,1,1,0,1,0
T,0,0,2,0,1,0,0,1,1,0,1,0
T,0,0,3,0,1,0,1,1,1,0,0,0
T,0,1,0,0,0,1,0,1,1,0,0,1
T,0,1,1,0,0,0,0,1,1,0,0,1
T,0,1,2,0,0,1,0,0,1,0,0,1
T,0,1,3,0,0,1,0,1,1,0,0,0
T,0,2,0,0,0,0,0,0,1,0,0,0
T,0,2,1,0,0,0,0,0,1,0,0,0
T,0,2,3,0,0,0,0,0,1,0,0,0
T,1,-2,1,0,0,0,0,0,0,1,0,0
T,1,-2,2,0,0,0,0,0,0,1,0,0
T,1,-2,3,0,0,0,0,0,0,1,0,0
T,1,-1,0,0,0,0,1,0,0,1,0,0
T,1,-1,1,0,0,0,0,0,0,1,1,0
T,1,-1,2,0,0,0,1,0,0,1,1,0
T,1,-1,3,0,0,0,1,0,0,1,1,0
T,1,0,0,0,0,0,0,1,0,1,1,0
T,1,0,1,0,0,0,0,0,0,1,1,1
T,1,0,2,0,0,0,0,1,0,0,1,1
T,1,0,3,0,0,0,0,1,0,1,1,1
T,1,1,0,0,0,0,0,0,1,0,1,1
T,1,1,1,0,0,0,0,0,0,0,1,1
T,1,1,2,0,0,0,0,0,1,0,0,1
T,1,1,3,0,0,0,0,0,1,0,1,1
T,1,2,0,0,0,0,0,0,0,0,0,1
T,1,2,1,0,0,0,0,0,0,0,0,1
T,1,2,3,0,0,0,0,0,0,0,0,1
T,2,-1,0,0,0,0,0,0,0,1,0,0
T,2,-1,2,0,0,0,0,0,0,1,0,0
T,2,-1,3,0,0,0,0,0,0,1,0,0
T,2,0,0,0,0,0,0,0,0,0,1,0
T,2,0,2,0,0,0,0,0,0,0,1,0
T,2,0,3,0,0,0,0,0,0,0,1,0
T,2,1,0,0,0,0,0,0,0,0,0,1
T,2,1,2,0,0,0,0,0,0,0,0,1
T,2,1,3,0,0,0,0,0,0,0,0,1
J,-2,-2,2,1,0,0,0,0,0,0,0,0
J,-2,-1,0,1,0,0,0,0,0,0,0,0
J,-2,-1,2,1,1,0,0,0,0,0,0,0
J,-2,0,0,0,1,0,0,0,0,0,0,0
J,-2,0,1,1,0,0,0,0,0,0,0,0
J,-2,0,2,0,1,1,0,0,0,0,0,0
J,-2,1,0,0,0,1,0,0,0,0,0,0
J,-2,1,1,0,1,0,0,0,0,0,0,0
J,-2,1,2,0,0,1,0,0,0,0,0,0
J,-2,2,1,0,0,1,0,0,0,0,0,0
J,-1,-2,1,1,0,0,0,0,0,0,0,0
J,-1,-2,2,0,0,0,1,0,0,0,0,0
J,-1,-2,3,1,0,0,0,0,0,0,0,0
J,-1,-1,0,1,0,0,1,0,0,0,0,0
J,-1,-1,1,1,1,0,0,0,0,0,0,0
J,-1,-1,2,1,0,0,1,1,0,0,0,0
J,-1,-1,3,1,1,0,0,0,0,0,0,0
J,-1,0,0,0,1,0,0,1,0,0,0,0
J,-1,0,1,1,1,1,1,0,0,0,0,0
J,-1,0,2,0,1,0,0,1,1,0,0,0
J,-1,0,3,1,1,1,0,0,0,0,0,0
J,-1,1,0,0,0,1,0,0,1,0,0,0
J,-1,1,1,0,1,1,0,1,0,0,0,0
J,-1,1,2,0,0,1,0,0,1,0,0,0
J,-1,1,3,0,1,1,0,0,0,0,0,0
J,-1,2,1,0,0,1,0,0,1,0,0,0
J,-1,2,3,0,0,1,0,0,0,0,0,0
J,0,-2,1,0,0,0,1,0,0,0,0,0
J,0,-2,2,0,0,0,0,0,0,1,0,0
J,0,-2,3,1,0,0,1,0,0,0,0,0
J,0,-1,0,1,0,0,1,0,0,1,0,0
J,0,-1,1,0,0,0,1,1,0,0,0,0
J,0,-1,2,1,0,0,1,0,0,1,1,0
J,0,-1,3,0,1,0,1,1,0,0,0,0
J,0,0,0,1,1,0,0,1,0,0,1,0
J,0,0,1,0,0,0,1,1,1,1,0,0
J,0,0,2,0,1,0,0,1,0,0,1,1
J,0,0,3,0,0,1,1,1,1,0,0,0
J,0,1,0,0,1,1,0,0,1,0,0,1
J,0,1,1,0,0,0,0,1,1,0,1,0
J,0,1,2,0,0,1,0,0,1,0,0,1
J,0,1,3,0,0,0,0,1,1,0,0,0
J,0,2,0,0,0,1,0,0,0,0,0,0
J,0,2,1,0,0,0,0,0,1,0,0,1
J,0,2,3,0,0,0,0,0,1,0,0,0
J,1,-2,1,0,0,0,0,0,0,1,0,0
J,1,-2,3,0,0,0,1,0,0,1,0,0
J,1,-1,0,0,0,0,1,0,0,1,0,0
J,1,-1,1,0,0,0,0,0,0,1,1,0
J,1,-1,2,0,0,0,1,0,0,1,0,0
J,1,-1,3,0,0,0,0,1,0,1,1,0
J,1,0,0,0,0,0,1,1,0,0,1,0
J,1,0,1,0,0,0,0,0,0,1,1,1
J,1,0,2,0,0,0,0,1,0,0,1,0
J,1,0,3,0,0,0,0,0,1,1,1,1
J,1,1,0,0,0,0,0,1,1,0,0,1
J,1,1,1,0,0,0,0,0,0,0,1,1
J,1,1,2,0,0,0,0,0,1,0,0,1
J,1,1,3,0,0,0,0,0,0,0,1,1
J,1,2,0,0,0,0,0,0,1,0,0,0
J,1,2,1,0,0,0,0,0,0,0,0,1
J,1,2,3,0,0,0,0,0,0,0,0,1
J,2,-2,3,0,0,0,0,0,0,1,0,0
J,2,-1,0,0,0,0,0,0,0,1,0,0
J,2,-1,2,0,0,0,0,0,0,1,0,0
J,2,-1,3,0,0,0,0,0,0,0,1,0
J,2,0,0,0,0,0,0,0,0,1,1,0
J,2,0,2,0,0,0,0,0,0,0,1,0
J,2,0,3,0,0,0,0,0,0,0,0,1
J,2,1,0,0,0,0,0,0,0,0,1,1
J,2,1,2,0,0,0,0,0,0,0,0,1
J,2,2,0,0,0,0,0,0,0,0,0,1
I,-3,-2,2,1,0,0,0,0,0,0,0,0
I,-3,-1,0,1,0,0,0,0,0,0,0,0
I,-3,-1,2,0,1,0,0,0,0,0,0,0
I,-3,0,0,0,1,0,0,0,0,0,0,0
I,-3,0,2,0,0,1,0,0,0,0,0,0
I,-3,1,0,0,0,1,0,0,0,0,0,0
I,-2,-3,1,1,0,0,0,0,0,0,0,0
I,-2,-2,1,1,1,0,0,0,0,0,0,0
I,-2,-2,2,1,0,0,1,0,0,0,0,0
I,-2,-1,0,1,0,0,1,0,0,0,0,0
I,-2,-1,1,1,1,1,0,0,0,0,0,0
I,-2,-1,2,0,1,0,0,1,0,0,0,0
I,-2,0,0,0,1,0,0,1,0,0,0,0
I,-2,0,1,1,1,1,0,0,0,0,0,0
I,-2,0,2,0,0,1,0,0,1,0,0,0
I,-2,1,0,0,0,1,0,0,1,0,0,0
I,-2,1,1,0,1,1,0,0,0,0,0,0
I,-2,2,1,0,0,1,0,0,0,0,0,0
I,-1,-3,1,0,0,0,1,0,0,0,0,0
I,-1,-3,3,1,0,0,0,0,0,0,0,0
I,-1,-2,1,0,0,0,1,1,0,0,0,0
I,-1,-2,2,1,0,0,1,0,0,1,0,0
I,-1,-2,3,1,1,0,0,0,0,0,0,0
I,-1,-1,0,1,0,0,1,0,0,1,0,0
I,-1,-1,1,0,0,0,1,1,1,0,0,0
I,-1,-1,2,0,1,0,0,1,0,0,1,0
I,-1,-1,3,1,1,1,0,0,0,0,0,0
I,-1,0,0,0,1,0,0,1,0,0,1,0
I,-1,0,1,0,0,0,1,1,1,0,0,0
I,-1,0,2,0,0,1,0,0,1,0,0,1
I,-1,0,3,1,1,1,0,0,0,0,0,0
I,-1,1,0,0,0,1,0,0,1,0,0,1
I,-1,1,1,0,0,0,0,1,1,0,0,0
I,-1,1,3,0,1,1,0,0,0,0,0,0
I,-1,2,1,0,0,0,0,0,1,0,0,0
I,-1,2,3,0,0,1,0,0,0,0,0,0
I,0,-3,1,0,0,0,0,0,0,1,0,0
I,0,-3,3,0,0,0,1,0,0,0,0,0
I,0,-2,1,0,0,0,0,0,0,1,1,0
I,0,-2,2,1,0,0,1,0,0,1,0,0
I,0,-2,3,0,0,0,1,1,0,0,0,0
I,0,-1,0,1,0,0,1,0,0,1,0,0
I,0,-1,1,0,0,0,0,0,0,1,1,1
I,0,-1,2,0,1,0,0,1,0,0,1,0
I,0,-1,3,0,0,0,1,1,1,0,0,0
I,0,0,0,0,1,0,0,1,0,0,1,0
I,0,0,1,0,0,0,0,0,0,1,1,1
I,0,0,2,0,0,1,0,0,1,0,0,1
I,0,0,3,0,0,0,1,1,1,0,0,0
I,0,1,0,0,0,1,0,0,1,0,0,1
I,0,1,1,0,0,0,0,0,0,0,1,1
I,0,1,3,0,0,0,0,1,1,0,0,0
I,0,2,1,0,0,0,0,0,0,0,0,1
I,0,2,3,0,0,0,0,0,1,0,0,0
I,1,-3,3,0,0,0,0,0,0,1,0,0
I,1,-2,2,0,0,0,1,0,0,1,0,0
I,1,-2,3,0,0,0,0,0,0,1,1,0
I,1,-1,0,0,0,0,1,0,0,1,0,0
I,1,-1,2,0,0,0,0,1,0,0,1,0
I,1,-1,3,0,0,0,0,0,0,1,1,1
I,1,0,0,0,0,0,0,1,0,0,1,0
I,1,0,2,0,0,0,0,0,1,0,0,1
I,1,0,3,0,0,0,0,0,0,1,1,1
I,1,1,0,0,0,0,0,0,1,0,0,1
I,1,1,3,0,0,0,0,0,0,0,1,1
I,1,2,3,0,0,0,0,0,0,0,0,1
I,2,-2,2,0,0,0,0,0,0,1,0,0
I,2,-1,0,0,0,0,0,0,0,1,0,0
I,2,-1,2,0,0,0,0,0,0,0,1,0
I,2,0,0,0,0,0,0,0,0,0,1,0
I,2,0,2,0,0,0,0,0,0,0,0,1
I,2,1,0,0,0,0,0,0,0,0,0,1
O,-2,-2,0,1,0,0,0,0,0,0,0,0
O,-2,-2,1,1,0,0,0,0,0,0,0,0
O,-2,-2,2,1,0,0,0,0,0,0,0,0
O,-2,-2,3,1,0,0,0,0,0,0,0,0
O,-2,-1,0,1,1,0,0,0,0,0,0,0
O,-2,-1,1,1,1,0,0,0,0,0,0,0
O,-2,-1,2,1,1,0,0,0,0,0,0,0
O,-2,-1,3,1,1,0,0,0,0,0,0,0
O,-2,0,0,0,1,1,0,0,0,0,0,0
O,-2,0,1,0,1,1,0,0,0,0,0,0
O,-2,0,2,0,1,1,0,0,0,0,0,0
O,-2,0,3,0,1,1,0,0,0,0,0,0
O,-2,1,0,0,0,1,0,0,0,0,0,0
O,-2,1,1,0,0,1,0,0,0,0,0,0
O,-2,1,2,0,0,1,0,0,0,0,0,0
O,-2,1,3,0,0,1,0,0,0,0,0,0
O,-1,-2,0,1,0,0,1,0,0,0,0,0
O,-1,-2,1,1,0,0,1,0,0,0,0,0
O,-1,-2,2,1,0,0,1,0,0,0,0,0
O,-1,-2,3,1,0,0,1,0,0,0,0,0
O,-1,-1,0,1,1,0,1,1,0,0,0,0
O,-1,-1,1,1,1,0,1,1,0,0,0,0
O,-1,-1,2,1,1,0,1,1,0,0,0,0
O,-1,-1,3,1,1,0,1,1,0,0,0,0
O,-1,0,0,0,1,1,0,1,1,0,0,0
O,-1,0,1,0,1,1,0,1,1,0,0,0
O,-1,0,2,0,1,1,0,1,1,0,0,0
O,-1,0,3,0,1,1,0,1,1,0,0,0
O,-1,1,0,0,0,1,0,0,1,0,0,0
O,-1,1,1,0,0,1,0,0,1,0,0,0
O,-1,1,2,0,0,1,0,0,1,0,0,0
O,-1,1,3,0,0,1,0,0,1,0,0,0
O,0,-2,0,0,0,0,1,0,0,1,0,0
O,0,-2,1,0,0,0,1,0,0,1,0,0
O,0,-2,2,0,0,0,1,0,0,1,0,0
O,0,-2,3,0,0,0,1,0,0,1,0,0
O,0,-1,0,0,0,0,1,1,0,1,1,0
O,0,-1,1,0,0,0,1,1,0,1,1,0
O,0,-1,2,0,0,0,1,1,0,1,1,0
O,0,-1,3,0,0,0,1,1,0,1,1,0
O,0,0,0,0,0,0,0,1,1,0,1,1
O,0,0,1,0,0,0,0,1,1,0,1,1
O,0,0,2,0,0,0,0,1,1,0,1,1
O,0,0,3,0,0,0,0,1,1,0,1,1
O,0,1,0,0,0,0,0,0,1,0,0,1
O,0,1,1,0,0,0,0,0,1,0,0,1
O,0,1,2,0,0,0,0,0,1,0,0,1
O,0,1,3,0,0,0,0,0,1,0,0,1
O,1,-2,0,0,0,0,0,0,0,1,0,0
O,1,-2,1,0,0,0,0,0,0,1,0,0
O,1,-2,2,0,0,0,0,0,0,1,0,0
O,1,-2,3,0,0,0,0,0,0,1,0,0
O,1,-1,0,0,0,0,0,0,0,1,1,0
O,1,-1,1,0,0,0,0,0,0,1,1,0
O,1,-1,2,0,0,0,0,0,0,1,1,0
O,1,-1,3,0,0,0,0,0,0,1,1,0
O,1,0,0,0,0,0,0,0,0,0,1,1
O,1,0,1,0,0,0,0,0,0,0,1,1
O,1,0,2,0,0,0,0,0,0,0,1,1
O,1,0,3,0,0,0,0,0,0,0,1,1
O,1,1,0,0,0,0,0,0,0,0,0,1
O,1,1,1,0,0,0,0,0,0,0,0,1
O,1,1,2,0,0,0,0,0,0,0,0,1
O,1,1,3,0,0,0,0,0,0,0,0,1
L,-2,-2,1,1,0,0,0,0,0,0,0,0
L,-2,-1,0,1,0,0,0,0,0,0,0,0
L,-2,-1,1,0,1,0,0,0,0,0,0,0
L,-2,-1,2,1,0,0,0,0,0,0,0,0
L,-2,0,0,1,1,0,0,0,0,0,0,0
L,-2,0,1,0,0,1,0,0,0,0,0,0
L,-2,0,2,0,1,0,0,0,0,0,0,0
L,-2,1,0,0,1,1,0,0,0,0,0,0
L,-2,1,2,0,0,1,0,0,0,0,0,0
L,-2,2,0,0,0,1,0,0,0,0,0,0
L,-1,-2,1,1,0,0,1,0,0,0,0,0
L,-1,-2,3,1,0,0,0,0,0,0,0,0
L,-1,-1,0,1,0,0,1,0,0,0,0,0
L,-1,-1,1,1,1,0,0,1,0,0,0,0
L,-1,-1,2,1,0,0,1,0,0,0,0,0
L,-1,-1,3,1,1,0,0,0,0,0,0,0
L,-1,0,0,0,1,0,1,1,0,0,0,0
L,-1,0,1,1,1,1,0,0,1,0,0,0
L,-1,0,2,0,1,0,0,1,0,0,0,0
L,-1,0,3,1,1,1,0,0,0,0,0,0
L,-1,1,0,0,0,1,0,1,1,0,0,0
L,-1,1,1,0,1,1,0,0,0,0,0,0
L,-1,1,2,0,0,1,0,0,1,0,0,0
L,-1,1,3,0,1,1,0,0,0,0,0,0
L,-1,2,0,0,0,0,0,0,1,0,0,0
L,-1,2,1,0,0,1,0,0,0,0,0,0
L,-1,2,3,0,0,1,0,0,0,0,0,0
L,0,-2,1,0,0,0,1,0,0,1,0,0
L,0,-2,2,1,0,0,0,0,0,0,0,0
L,0,-2,3,0,0,0,1,0,0,0,0,0
L,0,-1,0,1,0,0,1,0,0,1,0,0
L,0,-1,1,0,0,0,1,1,0,0,1,0
L,0,-1,2,1,1,0,1,0,0,1,0,0
L,0,-1,3,0,0,0,1,1,0,0,0,0
L,0,0,0,0,1,0,0,1,0,1,1,0
L,0,0,1,0,0,0,1,1,1,0,0,1
L,0,0,2,0,1,1,0,1,0,0,1,0
L,0,0,3,1,0,0,1,1,1,0,0,0
L,0,1,0,0,0,1,0,0,1,0,1,1
L,0,1,1,0,0,0,0,1,1,0,0,0
L,0,1,2,0,0,1,0,0,1,0,0,1
L,0,1,3,0,1,0,0,1,1,0,0,0
L,0,2,0,0,0,0,0,0,0,0,0,1
L,0,2,1,0,0,0,0,0,1,0,0,0
L,0,2,3,0,0,1,0,0,1,0,0,0
L,1,-2,1,0,0,0,0,0,0,1,0,0
L,1,-2,2,0,0,0,1,0,0,0,0,0
L,1,-2,3,0,0,0,0,0,0,1,0,0
L,1,-1,0,0,0,0,1,0,0,1,0,0
L,1,-1,1,0,0,0,0,0,0,1,1,0
L,1,-1,2,0,0,0,1,1,0,1,0,0
L,1,-1,3,0,0,0,0,0,0,1,1,0
L,1,0,0,0,0,0,0,1,0,0,1,0
L,1,0,1,0,0,0,0,0,0,1,1,1
L,1,0,2,0,0,0,0,1,1,0,1,0
L,1,0,3,0,0,0,1,0,0,1,1,1
L,1,1,0,0,0,0,0,0,1,0,0,1
L,1,1,1,0,0,0,0,0,0,0,1,1
L,1,1,2,0,0,0,0,0,1,0,0,1
L,1,1,3,0,0,0,0,1,0,0,1,1
L,1,2,1,0,0,0,0,0,0,0,0,1
L,1,2,3,0,0,0,0,0,1,0,0,1
L,2,-2,2,0,0,0,0,0,0,1,0,0
L,2,-1,0,0,0,0,0,0,0,1,0,0
L,2,-1,2,0,0,0,0,0,0,1,1,0
L,2,0,0,0,0,0,0,0,0,0,1,0
L,2,0,2,0,0,0,0,0,0,0,1,1
L,2,0,3,0,0,0,0,0,0,1,0,0
L,2,1,0,0,0,0,0,0,0,0,0,1
L,2,1,2,0,0,0,0,0,0,0,0,1
L,2,1,3,0,0,0,0,0,0,0,1,0
L,2,2,3,0,0,0,0,0,0,0,0,1
Z,-2,-2,2,1,0,0,0,0,0,0,0,0
Z,-2,-1,0,1,0,0,0,0,0,0,0,0
Z,-2,-1,1,1,0,0,0,0,0,0,0,0
Z,-2,-1,2,0,1,0,0,0,0,0,0,0
Z,-2,0,0,0,1,0,0,0,0,0,0,0
Z,-2,0,1,1,1,0,0,0,0,0,0,0
Z,-2,0,2,0,0,1,0,0,0,0,0,0
Z,-2,1,0,0,0,1,0,0,0,0,0,0
Z,-2,1,1,0,1,1,0,0,0,0,0,0
Z,-2,2,1,0,0,1,0,0,0,0,0,0
Z,-1,-2,1,1,0,0,0,0,0,0,0,0
Z,-1,-2,2,1,0,0,1,0,0,0,0,0
Z,-1,-1,0,1,0,0,1,0,0,0,0,0
Z,-1,-1,1,1,1,0,1,0,0,0,0,0
Z,-1,-1,2,1,1,0,0,1,0,0,0,0
Z,-1,-1,3,1,0,0,0,0,0,0,0,0
Z,-1,0,0,1,1,0,0,1,0,0,0,0
Z,-1,0,1,0,1,1,1,1,0,0,0,0
Z,-1,0,2,0,1,1,0,0,1,0,0,0
Z,-1,0,3,1,1,0,0,0,0,0,0,0
